Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
HR_foot_contact_link,-0.00013123546544902,1.07253594894274E-10,0.000744241578675364,0,0,0,0.0375461809577811,7.27488396317036E-06,1.37386449033621E-12,-1.43066245065785E-07,1.07021805734215E-05,-5.74911366233766E-13,8.0610289821307E-06,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/HR_foot_contact_link.STL,1,1,1,1,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/HR_foot_contact_link.STL,,SK01-HL-P27-2,HR-Link5 Coordinate,HR-J5,HR_foot_contact_joint,fixed,0.027784,0,-0.15757,0,0,0,HR_foot_link,0,0,0,,,,,,,,,,,,
FB_waist_link,0.21128,7.6171E-07,0.12654,0,0,0,6.3,0.0076887,3.7409E-06,-6.6532E-06,0.018424,3.3751E-10,0.019743,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FB_waist_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FB_waist_link.STL,,SK01-HL-A00-3;waist 2-1;bat 36V 20Ah-1;bat 36V 20Ah-3,Global Coordinate,Global Z,FB_waist_joint,revolute,0,0,0,0,0,0,Base,0,0,1,28,0,-0.7854,0.7854,,,,,,,,
FL_hip_link,-0.044964,0.03664,4.8852E-05,0,0,0,1.3,0.00055198,-2.2357E-06,2.7997E-09,0.00081827,1.4339E-09,0.00046473,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FL_hip_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FL_hip_link.STL,,SK01-HL-A20-2,FL-Link1 Coordinate,FL-J1,FL_hip_joint,revolute,0.299,0.0225,0,0,0,0,FB_waist_link,1,0,0,28,29.6,-0.6109,0.6109,,,,,,,,
FL_thigh_link,-0.060179,0.00079281,-0.073219,0,0,0,3.1,0.0031212,-3.5696E-07,-0.0014831,0.005605,-5.3493E-07,0.0025879,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FL_thigh_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FL_thigh_link.STL,,SK01-HL-A30-3,FL-Link2 Coordinate,FL-J2,FL_thigh_joint,revolute,0,0.115,0,0,0,0,FL_hip_link,0,-1,0,28,29.6,-2.443,1.047,,,,,,,,
FL_calf_link,0.038115,0.27512,-0.087666,0,0,0,0.5952,0.0019328,4.8363E-10,0.00083391,0.0024327,-3.3864E-10,0.00052578,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FL_calf_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FL_calf_link.STL,,SK01-HL-A40-M-2,FR-Link3 Coordinate,FL-J3,FL_calf_joint,revolute,-0.14784,-0.275,-0.17619,0,0,0,FL_thigh_link,0,1,0,42,19.7,-1.221,0.785,,,,,,,,
FL_foot_link,0.020379,-1.0589E-11,-0.035298,0,0,0,0.15225,8.7481E-05,-5.4078E-10,3.6959E-05,0.00012905,-3.1213E-10,4.4804E-05,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FL_foot_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FL_foot_link.STL,,SK01-HL-A60-1,FL-Link4 Coordinate,FL-J4,FL_foot_joint,revolute,0.10354,0.275,-0.22205,0,0,0,FL_calf_link,0,-1,0,56,14.8,-1.309,0.785,,,,,,,,
FL_foot_contact_link,-0.000377869973233969,-2.74726352778032E-11,0.000654470944106422,0,0,0,0.0375461482699152,7.45880413782042E-06,5.64591432339379E-13,-3.62252969208524E-07,1.07021692585689E-05,1.31886380611772E-12,7.87709669920417E-06,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FL_foot_contact_link.STL,1,1,1,1,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FL_foot_contact_link.STL,,SK01-HL-P27-3,FL-Link5 Coordinate,FL-J5,FL_foot_contact_joint,fixed,0.06,0,-0.10392,0,0,0,FL_foot_link,0,0,0,,,,,,,,,,,,
FR_hip_link,-0.026196,-0.039035,-5.8825E-05,0,0,0,1.4,0.0005559,1.3767E-05,-2.7997E-09,0.00078767,1.4339E-09,0.00044966,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FR_hip_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FR_hip_link.STL,,SK01-HL-A10-2,FR-Link1 Coordinate,FR-J1,FR_hip_joint,revolute,0.299,-0.0225,0,0,0,0,FB_waist_link,1,0,0,28,29.6,-0.6109,0.6109,,,,,,,,
FR_thigh_link,-0.061657,-0.00079282,-0.071979,0,0,0,3.1,0.0031113,4.6482E-07,-0.0014848,0.005605,4.4442E-07,0.0025978,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FR_thigh_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FR_thigh_link.STL,,SK01-HL-A30-4,FR-Link2 Coordinate,FR-J2,FR_thigh_joint,revolute,0,-0.115,0,0,0,0,FR_hip_link,0,-1,0,28,29.6,-2.443,1.047,,,,,,,,
FR_calf_link,0.038115,-0.00012675,-0.087666,0,0,0,0.5952,0.0019328,-4.8363E-10,0.00083391,0.0024327,3.3864E-10,0.00052578,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FR_calf_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FR_calf_link.STL,,SK01-HL-A40-2,FR-Link3 Coordinate,FR-J3,FR_calf_joint,revolute,-0.14784,0,-0.17619,0,0,0,FR_thigh_link,0,1,0,42,19.7,-1.221,0.785,,,,,,,,
FR_foot_link,0.020379,-1.0593E-11,-0.035298,0,0,0,0.15225,8.7481E-05,-5.4078E-10,3.6959E-05,0.00012905,-3.1213E-10,4.4804E-05,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FR_foot_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FR_foot_link.STL,,SK01-HL-A60-2,FR-Link4 Coordinate,FR-J4,FR_foot_joint,revolute,0.10354,0,-0.22205,0,0,0,FR_calf_link,0,-1,0,56,14.8,-1.309,0.785,,,,,,,,
FR_foot_contact_link,-0.000377869973233524,-2.74754941020916E-11,0.000654470944108532,0,0,0,0.0375461482699149,7.45880413782037E-06,5.64591428887031E-13,-3.62252969208528E-07,1.07021692585688E-05,1.31886380815472E-12,7.87709669920411E-06,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FR_foot_contact_link.STL,1,1,1,1,0,0,0,0,0,0,package://02_Leg_UFDF_260701_3/meshes/FR_foot_contact_link.STL,,SK01-HL-P27-4,FR-Link5 Coordinate,FR-J5,FR_foot_contact_joint,fixed,0.0600000000000012,0,-0.103923048454137,0,0,0,FR_foot_link,0,0,0,,,,,,,,,,,,
