order,leg,stone_idx,cx,cy,top_z
0,FR,0,1.035847457,-0.3206004376,0.1682090405
1,FL,8,1.027324776,0.2602170734,0.1676661291
2,HR,0,1.035847457,-0.3206004376,0.1682090405
3,FR,1,1.433954831,-0.009482948018,0.1497795019
4,HL,8,1.027324776,0.2602170734,0.1676661291
5,FL,9,1.469174826,0.3789325642,0.1481628152
6,HR,1,1.433954831,-0.009482948018,0.1497795019
7,FR,2,1.820517327,-0.3363535952,0.1367639143
8,HL,9,1.469174826,0.3789325642,0.1481628152
9,FL,10,1.913980262,0.4186361465,0.1268759942
10,HR,2,1.820517327,-0.3363535952,0.1367639143
11,FR,3,2.20450821,-0.01211946833,0.1035179942
12,HL,10,1.913980262,0.4186361465,0.1268759942
13,FL,11,2.383993307,0.4330300696,0.108825114
14,HR,3,2.20450821,-0.01211946833,0.1035179942
15,FR,4,2.63238604,-0.3045837391,0.1167769681
16,HL,11,2.383993307,0.4330300696,0.108825114
17,FL,12,2.879023123,0.3857155489,0.1255172926
18,HR,4,2.63238604,-0.3045837391,0.1167769681
19,FR,5,3.065422283,-0.02163464787,0.1339154538
20,HL,12,2.879023123,0.3857155489,0.1255172926
21,FL,13,3.336709338,0.4432678238,0.1260631523
22,HR,5,3.065422283,-0.02163464787,0.1339154538
23,FR,6,3.49217529,-0.3173721104,0.1102382515
24,HL,13,3.336709338,0.4432678238,0.1260631523
25,FL,14,3.815693296,0.3739149669,0.1051612319
26,HR,6,3.49217529,-0.3173721104,0.1102382515
27,FR,20,3.898652085,-0.4331269007,0.1098318162
28,HL,14,3.815693296,0.3739149669,0.1051612319
