cycle,leg,nom_x,nom_y,on,stone_idx,ix,iy,cx,cy,top_z,role,dz_prev,marginal,infeasible
13,HL,3.0461,0.1424,stone,27,5,2,2.8889,0.0000,0.1735,path,0.0000,0,0
13,FL,3.5294,0.1412,stone,37,7,2,3.6667,0.0000,0.2420,path,0.0409,0,0
14,HR,3.1758,-0.1419,stone,32,6,2,3.2778,0.0000,0.2011,path,0.0276,0,0
14,FR,3.6009,-0.1415,stone,37,7,2,3.6667,0.0000,0.2420,path,0.0409,0,0
14,HL,3.2861,0.1424,stone,32,6,2,3.2778,0.0000,0.2011,path,0.0276,0,0
14,FL,3.7694,0.1412,stone,37,7,2,3.6667,0.0000,0.2420,path,0.0000,0,0
15,HR,3.4158,-0.1419,stone,32,6,2,3.2778,0.0000,0.2011,path,0.0000,0,0
15,FR,3.8409,-0.1415,stone,37,7,2,3.6667,0.0000,0.2420,path,0.0000,0,0
15,HL,3.5261,0.1424,stone,37,7,2,3.6667,0.0000,0.2420,path,0.0409,0,0
15,FL,4.0094,0.1412,stone,37,7,2,3.6667,0.0000,0.2420,path,0.0000,0,0
16,HR,3.6558,-0.1419,stone,37,7,2,3.6667,0.0000,0.2420,path,0.0409,0,0
16,FR,4.0809,-0.1415,stone,37,7,2,3.6667,0.0000,0.2420,path,0.0000,0,0
16,HL,3.7661,0.1424,stone,37,7,2,3.6667,0.0000,0.2420,path,0.0000,0,0
16,FL,4.2494,0.1412,stone,37,7,2,3.6667,0.0000,0.2420,path,0.0000,0,0
17,HR,3.8958,-0.1419,stone,37,7,2,3.6667,0.0000,0.2420,path,0.0000,0,0
17,HL,4.0061,0.1424,stone,37,7,2,3.6667,0.0000,0.2420,path,0.0000,0,0
18,HR,4.1358,-0.1419,stone,37,7,2,3.6667,0.0000,0.2420,path,0.0000,0,0
18,HL,4.2461,0.1424,stone,37,7,2,3.6667,0.0000,0.2420,path,0.0000,0,0
