order,leg,stone_idx,cx,cy,top_z
0,FR,2,0.8977777778,-0.1477777778,0.1351997927
1,FL,3,0.8977777778,0.1477777778,0.1351997927
2,HR,2,0.8977777778,-0.1477777778,0.1351997927
3,FR,8,1.193333333,-0.1477777778,0.1527109734
4,HL,3,0.8977777778,0.1477777778,0.1351997927
5,FL,9,1.193333333,0.1477777778,0.1527109734
6,HR,8,1.193333333,-0.1477777778,0.1527109734
7,FR,14,1.488888889,-0.1477777778,0.1930239923
8,HL,9,1.193333333,0.1477777778,0.1527109734
9,FL,15,1.488888889,0.1477777778,0.1930239923
10,HR,14,1.488888889,-0.1477777778,0.1930239923
11,FR,20,1.784444444,-0.1477777778,0.1753814387
12,HL,15,1.488888889,0.1477777778,0.1930239923
13,FL,21,1.784444444,0.1477777778,0.1753814387
14,HR,20,1.784444444,-0.1477777778,0.1753814387
15,FR,26,2.08,-0.1477777778,0.1799547166
16,HL,21,1.784444444,0.1477777778,0.1753814387
17,FL,27,2.08,0.1477777778,0.1799547166
18,HR,26,2.08,-0.1477777778,0.1799547166
19,FR,32,2.375555556,-0.1477777778,0.2257693507
20,HL,27,2.08,0.1477777778,0.1799547166
21,FL,33,2.375555556,0.1477777778,0.2257693507
22,HR,32,2.375555556,-0.1477777778,0.2257693507
23,FR,38,2.671111111,-0.1477777778,0.178592191
24,HL,33,2.375555556,0.1477777778,0.2257693507
25,FL,39,2.671111111,0.1477777778,0.178592191
26,HR,38,2.671111111,-0.1477777778,0.178592191
27,FR,44,2.966666667,-0.1477777778,0.2167489726
28,HL,39,2.671111111,0.1477777778,0.178592191
29,FL,45,2.966666667,0.1477777778,0.2167489726
30,HR,44,2.966666667,-0.1477777778,0.2167489726
31,FR,50,3.262222222,-0.1477777778,0.2439598568
32,HL,45,2.966666667,0.1477777778,0.2167489726
33,FL,51,3.262222222,0.1477777778,0.2439598568
34,HR,50,3.262222222,-0.1477777778,0.2439598568
35,FR,56,3.557777778,-0.1477777778,0.2388527765
36,HL,51,3.262222222,0.1477777778,0.2439598568
37,FL,57,3.557777778,0.1477777778,0.2388527765
38,HR,56,3.557777778,-0.1477777778,0.2388527765
39,FR,62,3.853333333,-0.1477777778,0.2554736516
40,HL,57,3.557777778,0.1477777778,0.2388527765
41,FL,63,3.853333333,0.1477777778,0.2554736516
