order,leg,stone_idx,cx,cy,top_z
0,FR,1,1.249185076,0.07465376139,0.1178440855
1,FL,1,1.249185076,0.07465376139,0.1178440855
2,HR,1,1.249185076,0.07465376139,0.1178440855
3,FR,2,1.55112252,-0.2526903915,0.1160014065
4,HL,1,1.249185076,0.07465376139,0.1178440855
5,FL,11,1.563507787,0.232288454,0.1163984592
6,HR,2,1.55112252,-0.2526903915,0.1160014065
7,FR,3,1.940170475,0.08644936543,0.1178757615
8,HL,11,1.563507787,0.232288454,0.1163984592
9,FL,12,1.988223756,0.3958032414,0.1157830919
10,HR,3,1.940170475,0.08644936543,0.1178757615
11,FR,4,2.255552884,-0.2960958168,0.1120893666
12,HL,12,1.988223756,0.3958032414,0.1157830919
13,FL,13,2.415220405,0.3052193589,0.1171590444
14,HR,4,2.255552884,-0.2960958168,0.1120893666
15,FR,5,2.593103444,-0.02445429162,0.1246656327
16,HL,13,2.415220405,0.3052193589,0.1171590444
17,FL,14,2.824873794,0.4531942187,0.1366513061
18,HR,5,2.593103444,-0.02445429162,0.1246656327
19,FR,6,2.964143991,-0.3803955964,0.1307308991
20,HL,14,2.824873794,0.4531942187,0.1366513061
21,FL,15,3.294159101,0.367810385,0.1192293193
22,HR,6,2.964143991,-0.3803955964,0.1307308991
23,FR,7,3.297196875,0.006923516559,0.1193395479
24,HL,15,3.294159101,0.367810385,0.1192293193
25,FL,16,3.637415492,0.03590693837,0.1367971798
26,HR,7,3.297196875,0.006923516559,0.1193395479
27,FR,16,3.637415492,0.03590693837,0.1367971798
28,HL,16,3.637415492,0.03590693837,0.1367971798
29,FL,9,3.960666957,-0.01484026873,0.1646440935
30,HR,16,3.637415492,0.03590693837,0.1367971798
31,FR,9,3.960666957,-0.01484026873,0.1646440935
32,HL,9,3.960666957,-0.01484026873,0.1646440935
