level,leg,footfall_order,s,x,y,z
2,FL,0,0,0.1934,0.142,0.15
2,FL,0,0.1,0.2055954098,0.1404615357,0.175
2,FL,0,0.2,0.2177908196,0.1389230714,0.17816
2,FL,0,0.3,0.2299862293,0.1373846071,0.20184
2,FL,0,0.4,0.2421816391,0.1358461428,0.22168
2,FL,0,0.5,0.2543770489,0.1343076785,0.23
2,FL,0,0.6,0.2665724587,0.1327692143,0.22168
2,FL,0,0.7,0.2787678685,0.13123075,0.20184
2,FL,0,0.8,0.2909632782,0.1296922857,0.17816
2,FL,0,0.9,0.303158688,0.1281538214,0.175
2,FL,0,1,0.3153540978,0.1266153571,0.15
2,FL,1,0,0.3153540978,0.1266153571,0.15
2,FL,1,0.1,0.3457411931,0.1280298368,0.175
2,FL,1,0.2,0.3761282884,0.1294443165,0.17816
2,FL,1,0.3,0.4065153837,0.1308587962,0.20184
2,FL,1,0.4,0.436902479,0.1322732759,0.22168
2,FL,1,0.5,0.4672895743,0.1336877556,0.23
2,FL,1,0.6,0.4976766695,0.1351022352,0.22168
2,FL,1,0.7,0.5280637648,0.1365167149,0.20184
2,FL,1,0.8,0.5584508601,0.1379311946,0.17816
2,FL,1,0.9,0.5888379554,0.1393456743,0.175
2,FL,1,1,0.6192250507,0.140760154,0.15
2,FL,2,0,0.6192250507,0.140760154,0.15
2,FL,2,0.1,0.6433618264,0.1397192737,0.175
2,FL,2,0.2,0.667498602,0.1386783934,0.1806708804
2,FL,2,0.3,0.6916353777,0.137637513,0.2064623025
2,FL,2,0.4,0.7157721533,0.1365966327,0.2280713319
2,FL,2,0.5,0.739908929,0.1355557524,0.2371331829
2,FL,2,0.6,0.7640457047,0.1345148721,0.2288131829
2,FL,2,0.7,0.7881824803,0.1334739918,0.2089731829
2,FL,2,0.8,0.812319256,0.1324331114,0.1852931829
2,FL,2,0.9,0.8364560316,0.1313922311,0.1821331829
2,FL,2,1,0.8605928073,0.1303513508,0.1571331829
2,FL,3,0,0.8605928073,0.1303513508,0.1571331829
2,FL,3,0.1,0.8842678886,0.1315094732,0.1821331829
2,FL,3,0.2,0.9079429698,0.1326675956,0.1852931829
2,FL,3,0.3,0.9316180511,0.133825718,0.2089731829
2,FL,3,0.4,0.9552931324,0.1349838404,0.2288131829
2,FL,3,0.5,0.9789682136,0.1361419628,0.2371331829
2,FL,3,0.6,1.002643295,0.1373000853,0.2288131829
2,FL,3,0.7,1.026318376,0.1384582077,0.2089731829
2,FL,3,0.8,1.049993457,0.1396163301,0.1852931829
2,FL,3,0.9,1.073668539,0.1407744525,0.1821331829
2,FL,3,1,1.09734362,0.1419325749,0.1571331829
2,FL,4,0,1.09734362,0.1419325749,0.1571331829
2,FL,4,0.1,1.12142265,0.1406981887,0.1654531829
2,FL,4,0.2,1.14550168,0.1394638025,0.1852931829
2,FL,4,0.3,1.16958071,0.1382294162,0.2089731829
2,FL,4,0.4,1.19365974,0.13699503,0.2288131829
2,FL,4,0.5,1.21773877,0.1357606438,0.2371331829
2,FL,4,0.6,1.2418178,0.1345262576,0.2279988813
2,FL,4,0.7,1.26589683,0.1332918714,0.2062170852
2,FL,4,0.8,1.28997586,0.1320574851,0.1802194577
2,FL,4,0.9,1.31405489,0.1308230989,0.17430336
2,FL,4,1,1.33813392,0.1295887127,0.14930336
2,FL,5,0,1.33813392,0.1295887127,0.14930336
2,FL,5,0.1,1.364362399,0.1321462656,0.17430336
2,FL,5,0.2,1.390590877,0.1347038185,0.17746336
2,FL,5,0.3,1.416819356,0.1372613713,0.20114336
2,FL,5,0.4,1.443047835,0.1398189242,0.22098336
2,FL,5,0.5,1.469276313,0.1423764771,0.22930336
2,FL,5,0.6,1.495504792,0.14493403,0.2205538533
2,FL,5,0.7,1.521733271,0.1474915829,0.1996896451
2,FL,5,0.8,1.54796175,0.1500491357,0.174787203
2,FL,5,0.9,1.574190228,0.1526066886,0.1701734881
2,FL,5,1,1.600418707,0.1551642415,0.1451734881
2,FL,6,0,1.600418707,0.1551642415,0.1451734881
2,FL,6,0.1,1.623355524,0.1521985962,0.1701734881
2,FL,6,0.2,1.64629234,0.1492329508,0.1733334881
2,FL,6,0.3,1.669229157,0.1462673055,0.1970134881
2,FL,6,0.4,1.692165973,0.1433016601,0.2168534881
2,FL,6,0.5,1.71510279,0.1403360148,0.2251734881
2,FL,6,0.6,1.738039607,0.1373703695,0.2168534881
2,FL,6,0.7,1.760976423,0.1344047241,0.1970134881
2,FL,6,0.8,1.78391324,0.1314390788,0.1733334881
2,FL,6,0.9,1.806850056,0.1284734334,0.1701734881
2,FL,6,1,1.829786873,0.1255077881,0.1451734881
2,FL,7,0,1.829786873,0.1255077881,0.1451734881
2,FL,7,0.1,1.854435631,0.1271247098,0.1701734881
2,FL,7,0.2,1.879084389,0.1287416314,0.1743617664
2,FL,7,0.3,1.903733147,0.1303585531,0.1989064549
2,FL,7,0.4,1.928381905,0.1319754748,0.2194709237
2,FL,7,0.5,1.953030662,0.1335923964,0.2280947332
2,FL,7,0.6,1.97767942,0.1352093181,0.2197747332
2,FL,7,0.7,2.002328178,0.1368262398,0.1999347332
2,FL,7,0.8,2.026976936,0.1384431615,0.1762547332
2,FL,7,0.9,2.051625694,0.1400600831,0.1730947332
2,FL,7,1,2.076274452,0.1416770048,0.1480947332
2,FL,8,0,2.076274452,0.1416770048,0.1480947332
2,FL,8,0.1,2.096062669,0.1406248133,0.1730947332
2,FL,8,0.2,2.115850887,0.1395726218,0.1762547332
2,FL,8,0.3,2.135639105,0.1385204304,0.1999347332
2,FL,8,0.4,2.155427322,0.1374682389,0.2197747332
2,FL,8,0.5,2.175215539,0.1364160474,0.2280947332
2,FL,8,0.6,2.195003757,0.1353638559,0.2197747332
2,FL,8,0.7,2.214791974,0.1343116644,0.1999347332
2,FL,8,0.8,2.234580192,0.133259473,0.1762547332
2,FL,8,0.9,2.25436841,0.1322072815,0.1730947332
2,FL,8,1,2.274156627,0.13115509,0.1480947332
2,FL,9,0,2.274156627,0.13115509,0.1480947332
2,FL,9,0.1,2.299779651,0.1311241629,0.1566666098
2,FL,9,0.2,2.325402674,0.1310932359,0.1771072386
2,FL,9,0.3,2.351025698,0.1310623088,0.201504118
2,FL,9,0.4,2.376648722,0.1310313817,0.2219447468
2,FL,9,0.5,2.402271746,0.1310004546,0.2305166234
2,FL,9,0.6,2.427894769,0.1309695276,0.2221966234
2,FL,9,0.7,2.453517793,0.1309386005,0.2023566234
2,FL,9,0.8,2.479140817,0.1309076734,0.1786766234
2,FL,9,0.9,2.50476384,0.1308767464,0.1755166234
2,FL,9,1,2.530386864,0.1308458193,0.1505166234
