order,leg,stone_idx,cx,cy,top_z
0,FR,1,1.068741156,-0.2627704114,0.1818465896
1,FL,16,1.059460485,0.2968090746,0.180919324
2,HR,1,1.068741156,-0.2627704114,0.1818465896
3,FR,2,1.318372455,-0.0105129272,0.2067366783
4,HL,16,1.059460485,0.2968090746,0.180919324
5,FL,17,1.26862088,0.01656427357,0.2017775467
6,HR,2,1.318372455,-0.0105129272,0.2067366783
7,FR,3,1.521269275,-0.2791062148,0.2162854828
8,HL,17,1.26862088,0.01656427357,0.2017775467
9,FL,18,1.484893111,0.2936312084,0.2181084184
10,HR,3,1.521269275,-0.2791062148,0.2162854828
11,FR,4,1.717429818,0.01027812414,0.2064551981
12,HL,18,1.484893111,0.2936312084,0.2181084184
13,FL,19,1.691145919,0.009804748893,0.2077723754
14,HR,4,1.717429818,0.01027812414,0.2064551981
15,FR,5,1.922038737,-0.2660135494,0.2104472436
16,HL,19,1.691145919,0.009804748893,0.2077723754
17,FL,20,1.887334873,0.2925878843,0.2081353567
18,HR,5,1.922038737,-0.2660135494,0.2104472436
19,FR,6,2.153375407,-0.01814904516,0.2257523856
20,HL,20,1.887334873,0.2925878843,0.2081353567
21,FL,21,2.082704024,-0.002174297824,0.2211503737
22,HR,6,2.153375407,-0.01814904516,0.2257523856
23,FR,7,2.356551994,-0.2735901025,0.2329104281
24,HL,21,2.082704024,-0.002174297824,0.2211503737
25,FL,22,2.306523668,0.2723359149,0.2311478978
26,HR,7,2.356551994,-0.2735901025,0.2329104281
27,FR,23,2.516812582,-0.001744882124,0.2389970067
28,HL,22,2.306523668,0.2723359149,0.2311478978
29,FL,8,2.547498681,0.02456437723,0.2408820823
30,HR,23,2.516812582,-0.001744882124,0.2389970067
31,FR,9,2.744079146,-0.2624590335,0.2529582036
32,HL,8,2.547498681,0.02456437723,0.2408820823
33,FL,24,2.711328227,0.2669568885,0.2509462841
34,HR,9,2.744079146,-0.2624590335,0.2529582036
35,FR,10,2.935793829,-0.002808161945,0.2591202515
36,HL,24,2.711328227,0.2669568885,0.2509462841
37,FL,25,2.929043684,0.01970384124,0.2591473775
38,HR,10,2.935793829,-0.002808161945,0.2591202515
39,FR,11,3.144236401,-0.2669976062,0.2582826095
40,HL,25,2.929043684,0.01970384124,0.2591473775
41,FL,26,3.136627603,0.3056199009,0.258313186
42,HR,11,3.144236401,-0.2669976062,0.2582826095
43,FR,12,3.345401926,0.002594784165,0.2548531478
44,HL,26,3.136627603,0.3056199009,0.258313186
45,FL,27,3.339540971,0.01404067673,0.254982352
46,HR,12,3.345401926,0.002594784165,0.2548531478
47,FR,13,3.527360002,-0.2988254942,0.2508418995
48,HL,27,3.339540971,0.01404067673,0.254982352
49,FL,28,3.55644585,0.2724368131,0.2500457001
50,HR,13,3.527360002,-0.2988254942,0.2508418995
51,FR,14,3.724041823,-0.00829142528,0.2423208481
52,HL,28,3.55644585,0.2724368131,0.2500457001
53,FL,29,3.777830476,0.02071330704,0.2398416156
54,HR,14,3.724041823,-0.00829142528,0.2423208481
55,FR,15,3.935933021,-0.2746249428,0.2364410283
56,HL,29,3.777830476,0.02071330704,0.2398416156
57,FL,30,3.993918205,0.299761842,0.2400403318
