order,cycle,leg,stone_idx,stone_cx,stone_cy,stone_top_z,foot_x,foot_y,foot_z,naive_idx,differs
0,2,FR,2,0.9055555556,-0.1555555556,0.1214157049,0.8712856036,-0.1412648214,0.1214157049,2,0
1,2,FL,3,0.9055555556,0.1555555556,0.1152665586,0.8714317134,0.145108632,0.1152665586,3,0
2,4,HR,2,0.9055555556,-0.1555555556,0.1214157049,0.9309250259,-0.1393376075,0.1214157049,2,0
3,4,FR,8,1.216666667,-0.1555555556,0.117296162,1.308414632,-0.1400261654,0.117296162,8,0
4,4,HL,3,0.9055555556,0.1555555556,0.1152665586,0.9317718475,0.1490654232,0.1152665586,3,0
5,4,FL,9,1.216666667,0.1555555556,0.118080236,1.310084905,0.1459982378,0.118080236,9,0
6,5,HR,8,1.216666667,-0.1555555556,0.117296162,1.18033117,-0.143576501,0.117296162,2,1
7,5,FR,14,1.527777778,-0.1555555556,0.1780428691,1.562965573,-0.1375332409,0.1780428691,14,0
8,5,HL,9,1.216666667,0.1555555556,0.118080236,1.176301371,0.1404195297,0.118080236,9,0
9,5,FL,15,1.527777778,0.1555555556,0.1676589982,1.558942513,0.1463601236,0.1676589982,15,0
10,6,FR,20,1.838888889,-0.1555555556,0.1314980783,1.76688173,-0.1789404373,0.1314980783,20,0
11,6,HL,15,1.527777778,0.1555555556,0.1676589982,1.431937117,0.162053385,0.1676589982,9,1
12,6,FL,21,1.838888889,0.1555555556,0.1465887108,1.801936327,0.1073079307,0.1465887108,21,0
13,7,HR,14,1.527777778,-0.1555555556,0.1780428691,1.594577953,-0.1490761061,0.1780428691,14,0
14,8,HR,20,1.838888889,-0.1555555556,0.1314980783,1.847042915,-0.1493845642,0.1314980783,20,0
15,8,FR,26,2.15,-0.1555555556,0.1252006304,2.227317479,-0.1543524824,0.1252006304,26,0
16,8,HL,21,1.838888889,0.1555555556,0.1465887108,1.852002446,0.134769678,0.1465887108,21,0
17,8,FL,27,2.15,0.1555555556,0.1724424287,2.233391448,0.1297777551,0.1724424287,27,0
18,9,HR,26,2.15,-0.1555555556,0.1252006304,2.098231988,-0.1533617761,0.1252006304,20,1
19,9,FR,32,2.461111111,-0.1555555556,0.1312884217,2.481849494,-0.1404596309,0.1312884217,32,0
20,9,HL,27,2.15,0.1555555556,0.1724424287,2.086169098,0.1300249748,0.1724424287,27,0
21,9,FL,33,2.461111111,0.1555555556,0.1401854663,2.471697443,0.1431529835,0.1401854663,33,0
22,10,FR,38,2.772222222,-0.1555555556,0.1468776798,2.732602057,-0.1497177419,0.1468776798,38,0
23,10,FL,39,2.772222222,0.1555555556,0.1145809568,2.739160912,0.1497324787,0.1145809568,39,0
24,11,HR,32,2.461111111,-0.1555555556,0.1312884217,2.54457099,-0.1499917366,0.1312884217,32,0
25,11,FR,44,3.083333333,-0.1555555556,0.1560311182,3.001521327,-0.1499690206,0.1560311182,38,1
26,11,HL,33,2.461111111,0.1555555556,0.1401854663,2.55624732,0.1410971246,0.1401854663,33,0
27,11,FL,45,3.083333333,0.1555555556,0.1857337043,2.992397743,0.1393998131,0.1857337043,45,0
28,12,HR,38,2.772222222,-0.1555555556,0.1468776798,2.803903747,-0.1479250305,0.1468776798,38,0
29,12,HL,39,2.772222222,0.1555555556,0.1145809568,2.801024225,0.149775518,0.1145809568,39,0
30,13,HR,44,3.083333333,-0.1555555556,0.1560311182,3.066386526,-0.1599901672,0.1560311182,38,1
31,13,FR,50,3.394444444,-0.1555555556,0.1528138051,3.452563419,-0.1513213056,0.1528138051,50,0
32,13,HL,45,3.083333333,0.1555555556,0.1857337043,3.060405941,0.1238480589,0.1857337043,45,0
33,13,FL,51,3.394444444,0.1555555556,0.1641083064,3.446582905,0.1325169364,0.1641083064,51,0
34,14,FR,56,3.705555556,-0.1555555556,0.125665736,3.691891053,-0.1500172402,0.125665736,56,0
35,14,FL,57,3.705555556,0.1555555556,0.1814209743,3.681698006,0.1371698699,0.1814209743,57,0
36,15,HR,50,3.394444444,-0.1555555556,0.1528138051,3.480992814,-0.1471709816,0.1528138051,50,0
37,15,FR,62,4.016666667,-0.1555555556,0.1674352606,3.932419673,-0.149991525,0.1674352606,56,1
38,15,HL,51,3.394444444,0.1555555556,0.1641083064,3.489049541,0.1447574759,0.1641083064,51,0
39,15,FL,63,4.016666667,0.1555555556,0.1421464139,3.933003136,0.1418940505,0.1421464139,63,0
40,16,HR,56,3.705555556,-0.1555555556,0.125665736,3.725072161,-0.1493427579,0.125665736,56,0
41,16,HL,57,3.705555556,0.1555555556,0.1814209743,3.728707424,0.1405354528,0.1814209743,57,0
