order,leg,stone_idx,cx,cy,top_z
0,FR,0,0.9557708483,-0.003661367525,0.1631062093
1,FL,10,1.046032361,0.453357804,0.1688552563
2,HR,0,0.9557708483,-0.003661367525,0.1631062093
3,FR,1,1.383524347,-0.2694579511,0.1654937199
4,HL,10,1.046032361,0.453357804,0.1688552563
5,FL,11,1.519304951,0.4333257869,0.1711033784
6,HR,1,1.383524347,-0.2694579511,0.1654937199
7,FR,2,1.76540911,0.06047765109,0.1966841091
8,HL,11,1.519304951,0.4333257869,0.1711033784
9,FL,12,1.945231276,0.4268268546,0.1976483736
10,HR,2,1.76540911,0.06047765109,0.1966841091
11,FR,3,2.045947336,-0.3413651298,0.1958236653
12,HL,12,1.945231276,0.4268268546,0.1976483736
13,FL,13,2.321671104,0.4067008332,0.213284934
14,HR,3,2.045947336,-0.3413651298,0.1958236653
15,FR,4,2.357307405,0.02873667536,0.2173009571
16,HL,13,2.321671104,0.4067008332,0.213284934
17,FL,14,2.766774042,0.4143270058,0.2501291352
18,HR,4,2.357307405,0.02873667536,0.2173009571
19,FR,5,2.660443139,-0.3438289259,0.2434539197
20,HL,14,2.766774042,0.4143270058,0.2501291352
21,FL,15,3.208388722,0.440952811,0.2586004962
22,HR,5,2.660443139,-0.3438289259,0.2434539197
23,FR,6,2.970166472,0.0430939512,0.2567939096
24,HL,15,3.208388722,0.440952811,0.2586004962
25,FL,16,3.600418424,0.4193284636,0.2255341673
26,HR,6,2.970166472,0.0430939512,0.2567939096
27,FR,7,3.350952352,-0.3005466356,0.242495275
28,HL,16,3.600418424,0.4193284636,0.2255341673
29,FL,17,4.002810923,0.3696446469,0.253876932
30,HR,7,3.350952352,-0.3005466356,0.242495275
31,FR,8,3.773274813,0.000419916111,0.2444764085
32,HL,17,4.002810923,0.3696446469,0.253876932
33,HR,8,3.773274813,0.000419916111,0.2444764085
34,FR,9,3.992129374,-0.3695849612,0.2543430563
