order,leg,stone_idx,cx,cy,top_z
0,FR,2,0.9444444444,0,0.1504773762
1,FL,2,0.9444444444,0,0.1504773762
2,HR,2,0.9444444444,0,0.1504773762
3,FR,7,1.333333333,0,0.1622740845
4,HL,2,0.9444444444,0,0.1504773762
5,FL,7,1.333333333,0,0.1622740845
6,HR,7,1.333333333,0,0.1622740845
7,FR,12,1.722222222,0,0.1737277461
8,HL,7,1.333333333,0,0.1622740845
9,FL,12,1.722222222,0,0.1737277461
10,HR,12,1.722222222,0,0.1737277461
11,FR,17,2.111111111,0,0.1590144176
12,HL,12,1.722222222,0,0.1737277461
13,FL,17,2.111111111,0,0.1590144176
14,HR,17,2.111111111,0,0.1590144176
15,FR,22,2.5,0,0.1862518455
16,HL,17,2.111111111,0,0.1590144176
17,FL,22,2.5,0,0.1862518455
18,HR,22,2.5,0,0.1862518455
19,FR,27,2.888888889,0,0.1735020243
20,HL,22,2.5,0,0.1862518455
21,FL,27,2.888888889,0,0.1735020243
22,HR,27,2.888888889,0,0.1735020243
23,FR,32,3.277777778,0,0.201071229
24,HL,27,2.888888889,0,0.1735020243
25,FL,32,3.277777778,0,0.201071229
26,HR,32,3.277777778,0,0.201071229
27,FR,37,3.666666667,0,0.2419774355
28,HL,32,3.277777778,0,0.201071229
29,FL,37,3.666666667,0,0.2419774355
