order,leg,stone_idx,cx,cy,top_z
0,FR,1,0.9522222222,-0.2022222222,0.1204603399
1,FL,2,0.9522222222,0.2022222222,0.1204603399
2,HR,1,0.9522222222,-0.2022222222,0.1204603399
3,FR,5,1.356666667,-0.2022222222,0.1200260896
4,HL,2,0.9522222222,0.2022222222,0.1204603399
5,FL,6,1.356666667,0.2022222222,0.1200260896
6,HR,5,1.356666667,-0.2022222222,0.1200260896
7,FR,9,1.761111111,-0.2022222222,0.1365915661
8,HL,6,1.356666667,0.2022222222,0.1200260896
9,FL,10,1.761111111,0.2022222222,0.1365915661
10,HR,9,1.761111111,-0.2022222222,0.1365915661
11,FR,13,2.165555556,-0.2022222222,0.1088841581
12,HL,10,1.761111111,0.2022222222,0.1365915661
13,FL,14,2.165555556,0.2022222222,0.1088841581
14,HR,13,2.165555556,-0.2022222222,0.1088841581
15,FR,17,2.57,-0.2022222222,0.1286261187
16,HL,14,2.165555556,0.2022222222,0.1088841581
17,FL,18,2.57,0.2022222222,0.1286261187
18,HR,17,2.57,-0.2022222222,0.1286261187
19,FR,21,2.974444444,-0.2022222222,0.1524728141
20,HL,18,2.57,0.2022222222,0.1286261187
21,FL,22,2.974444444,0.2022222222,0.1524728141
22,HR,21,2.974444444,-0.2022222222,0.1524728141
23,FR,25,3.378888889,-0.2022222222,0.1995696259
24,HL,22,2.974444444,0.2022222222,0.1524728141
25,FL,26,3.378888889,0.2022222222,0.1995696259
26,HR,25,3.378888889,-0.2022222222,0.1995696259
27,FR,29,3.783333333,-0.2022222222,0.1496151624
28,HL,26,3.378888889,0.2022222222,0.1995696259
29,FL,30,3.783333333,0.2022222222,0.1496151624
