level,leg,footfall_order,s,x,y,z
9,FL,0,0,0.1934,0.142,0.15
9,FL,0,0.1,0.2055954098,0.1404615357,0.175
9,FL,0,0.2,0.2177908196,0.1389230714,0.17816
9,FL,0,0.3,0.2299862293,0.1373846071,0.20184
9,FL,0,0.4,0.2421816391,0.1358461428,0.22168
9,FL,0,0.5,0.2543770489,0.1343076785,0.23
9,FL,0,0.6,0.2665724587,0.1327692143,0.22168
9,FL,0,0.7,0.2787678685,0.13123075,0.20184
9,FL,0,0.8,0.2909632782,0.1296922857,0.17816
9,FL,0,0.9,0.303158688,0.1281538214,0.175
9,FL,0,1,0.3153540978,0.1266153571,0.15
9,FL,1,0,0.3153540978,0.1266153571,0.15
9,FL,1,0.1,0.3457043365,0.1280298435,0.175
9,FL,1,0.2,0.3760545753,0.1294443299,0.17816
9,FL,1,0.3,0.4064048141,0.1308588163,0.20184
9,FL,1,0.4,0.4367550528,0.1322733027,0.22168
9,FL,1,0.5,0.4671052916,0.1336877891,0.23
9,FL,1,0.6,0.4974555303,0.1351022754,0.22168
9,FL,1,0.7,0.527805769,0.1365167618,0.20184
9,FL,1,0.8,0.5581560078,0.1379312482,0.17816
9,FL,1,0.9,0.5885062466,0.1393457346,0.175
9,FL,1,1,0.6188564853,0.140760221,0.15
9,FL,2,0,0.6188564853,0.140760221,0.15
9,FL,2,0.1,0.644708741,0.1324173822,0.175
9,FL,2,0.2,0.6705609966,0.1240745434,0.17816
9,FL,2,0.3,0.6964132523,0.1157317046,0.20184
9,FL,2,0.4,0.7222655079,0.1073888658,0.22168
9,FL,2,0.5,0.7481177636,0.09904602704,0.23
9,FL,2,0.6,0.7739700193,0.09070318825,0.2207945114
9,FL,2,0.7,0.7998222749,0.08236034946,0.1988429618
9,FL,2,0.8,0.8256745306,0.07401751066,0.1726427251
9,FL,2,0.9,0.8515267862,0.06567467187,0.1506911755
9,FL,2,1,0.8773790419,0.05733183308,0.1414856869
9,FL,3,0,0.8773790419,0.05733183308,0.1414856869
9,FL,3,0.1,0.9020830139,0.05559864977,0.1602373996
9,FL,3,0.2,0.9267869859,0.05386546646,0.2014911674
9,FL,3,0.3,0.9514909579,0.05213228316,0.2427449352
9,FL,3,0.4,0.9761949299,0.05039909985,0.2614966479
9,FL,3,0.5,1.000898902,0.04866591654,0.255570722
9,FL,3,0.6,1.025602874,0.04693273323,0.2407559072
9,FL,3,0.7,1.050306846,0.04519954992,0.2214966479
9,FL,3,0.8,1.075010818,0.04346636662,0.2022373886
9,FL,3,0.9,1.09971479,0.04173318331,0.1874225738
9,FL,3,1,1.124418762,0.04,0.1814966479
9,FL,4,0,1.124418762,0.04,0.1814966479
9,FL,4,0.1,1.151228867,0.04,0.2064966479
9,FL,4,0.2,1.178038971,0.04,0.2064966479
9,FL,4,0.3,1.204849076,0.04,0.2129835284
9,FL,4,0.4,1.23165918,0.04,0.2300097674
9,FL,4,0.5,1.258469285,0.04,0.2456365896
9,FL,4,0.6,1.28527939,0.04,0.257065161
9,FL,4,0.7,1.312089494,0.04,0.2614966479
9,FL,4,0.8,1.338899599,0.04,0.2223728617
9,FL,4,0.9,1.365709703,0.04,0.1497144017
9,FL,4,1,1.392519808,0.04,0.1105906155
9,FL,5,0,1.392519808,0.04,0.1105906155
9,FL,5,0.1,1.408856075,0.04,0.1355906155
9,FL,5,0.2,1.425192342,0.04,0.1355906155
9,FL,5,0.3,1.441528609,0.04,0.142077496
9,FL,5,0.4,1.457864876,0.04,0.159103735
9,FL,5,0.5,1.474201143,0.04,0.1747305572
9,FL,5,0.6,1.49053741,0.04,0.1861591286
9,FL,5,0.7,1.506873677,0.04,0.1905906155
9,FL,5,0.8,1.523209944,0.04,0.1411782337
9,FL,5,0.9,1.539546211,0.04,0.0494123818
9,FL,5,1,1.555882478,0.04,0
9,FL,6,0,1.555882478,0.04,0
9,FL,6,0.1,1.577622591,0.04,0.05372984543
9,FL,6,0.2,1.599362705,0.04,0.1535138441
9,FL,6,0.3,1.621102818,0.04,0.2072436895
9,FL,6,0.4,1.642842932,0.04,0.2028122026
9,FL,6,0.5,1.664583045,0.04,0.1913836312
9,FL,6,0.6,1.686323158,0.04,0.175756809
9,FL,6,0.7,1.708063272,0.04,0.15873057
9,FL,6,0.8,1.729803385,0.04,0.1522436895
9,FL,6,0.9,1.751543499,0.04,0.1522436895
9,FL,6,1,1.773283612,0.04,0.1272436895
9,FL,7,0,1.773283612,0.04,0.1272436895
9,FL,7,0.1,1.801543865,0.04,0.1358968172
9,FL,7,0.2,1.829804118,0.04,0.1565311987
9,FL,7,0.3,1.85806437,0.04,0.1811593315
9,FL,7,0.4,1.886324623,0.04,0.201793713
9,FL,7,0.5,1.914584876,0.04,0.2104468407
9,FL,7,0.6,1.942845129,0.04,0.2021268407
9,FL,7,0.7,1.971105382,0.04,0.1822868407
9,FL,7,0.8,1.999365634,0.04,0.1586068407
9,FL,7,0.9,2.027625887,0.04,0.1554468407
9,FL,7,1,2.05588614,0.04,0.1304468407
9,FL,8,0,2.05588614,0.04,0.1304468407
9,FL,8,0.1,2.081403741,0.04,0.1528802982
9,FL,8,0.2,2.106921343,0.04,0.2022339048
9,FL,8,0.3,2.132438945,0.04,0.2515875114
9,FL,8,0.4,2.157956546,0.04,0.2740209689
9,FL,8,0.5,2.183474148,0.04,0.268095043
9,FL,8,0.6,2.208991749,0.04,0.2532802282
9,FL,8,0.7,2.234509351,0.04,0.2340209689
9,FL,8,0.8,2.260026952,0.04,0.2190209689
9,FL,8,0.9,2.285544554,0.04,0.2190209689
9,FL,8,1,2.311062155,0.04,0.1940209689
9,FL,9,0,2.311062155,0.04,0.1940209689
9,FL,9,0.1,2.337988857,0.04,0.2190209689
9,FL,9,0.2,2.36491556,0.04,0.2147617096
9,FL,9,0.3,2.391842262,0.04,0.2340209689
9,FL,9,0.4,2.418768965,0.04,0.2532802282
9,FL,9,0.5,2.445695667,0.04,0.268095043
9,FL,9,0.6,2.472622369,0.04,0.2740209689
9,FL,9,0.7,2.499549072,0.04,0.2514050992
9,FL,9,0.8,2.526475774,0.04,0.201650186
9,FL,9,0.9,2.553402477,0.04,0.1542794031
9,FL,9,1,2.580329179,0.04,0.1292794031
9,FL,10,0,2.580329179,0.04,0.1292794031
9,FL,10,0.1,2.601708353,0.04,0.1542794031
9,FL,10,0.2,2.623087527,0.04,0.2030294351
9,FL,10,0.3,2.644466702,0.04,0.2537325822
9,FL,10,0.4,2.665845876,0.04,0.2767794672
9,FL,10,0.5,2.68722505,0.04,0.2708535413
9,FL,10,0.6,2.708604224,0.04,0.2560387265
