order,leg,stone_idx,cx,cy,top_z
0,FR,2,0.9211111111,0,0.1334034631
1,FL,2,0.9211111111,0,0.1334034631
2,HR,2,0.9211111111,0,0.1334034631
3,FR,7,1.263333333,0,0.1148433017
4,HL,2,0.9211111111,0,0.1334034631
5,FL,7,1.263333333,0,0.1148433017
6,HR,7,1.263333333,0,0.1148433017
7,FR,12,1.605555556,0,0.132432191
8,HL,7,1.263333333,0,0.1148433017
9,FL,12,1.605555556,0,0.132432191
10,HR,12,1.605555556,0,0.132432191
11,FR,17,1.947777778,0,0.1021771162
12,HL,12,1.605555556,0,0.132432191
13,FL,17,1.947777778,0,0.1021771162
14,HR,17,1.947777778,0,0.1021771162
15,FR,22,2.29,0,0.1437642141
16,HL,17,1.947777778,0,0.1021771162
17,FL,22,2.29,0,0.1437642141
18,HR,22,2.29,0,0.1437642141
19,FR,27,2.632222222,0,0.1896171156
20,HL,22,2.29,0,0.1437642141
21,FL,27,2.632222222,0,0.1896171156
22,HR,27,2.632222222,0,0.1896171156
23,FR,32,2.974444444,0,0.21982108
24,HL,27,2.632222222,0,0.1896171156
25,FL,32,2.974444444,0,0.21982108
26,HR,32,2.974444444,0,0.21982108
27,FR,37,3.316666667,0,0.2287181274
28,HL,32,2.974444444,0,0.21982108
29,FL,37,3.316666667,0,0.2287181274
30,HR,37,3.316666667,0,0.2287181274
31,FR,42,3.658888889,0,0.2295089413
32,HL,37,3.316666667,0,0.2287181274
33,FL,42,3.658888889,0,0.2295089413
34,HR,42,3.658888889,0,0.2295089413
35,FR,47,4.001111111,0,0.2407602143
36,HL,42,3.658888889,0,0.2295089413
37,FL,47,4.001111111,0,0.2407602143
