order,cycle,leg,stone_idx,stone_cx,stone_cy,stone_top_z,foot_x,foot_y,foot_z,naive_idx,differs
0,2,FR,2,0.9366666667,0,0.1530680644,0.857355759,-0.1302378452,0.1530680644,-1,0
1,2,FL,2,0.9366666667,0,0.1530680644,0.8552118447,0.1537533017,0.1530680644,2,0
2,4,HR,2,0.9366666667,0,0.1530680644,0.9459869518,-0.12864056,0.1530680644,2,0
3,4,FR,7,1.31,0,0.1615469557,1.332757514,-0.1291502608,0.1615469557,7,0
4,4,HL,2,0.9366666667,0,0.1530680644,0.9459959559,0.151556312,0.1530680644,2,0
5,4,FL,7,1.31,0,0.1615469557,1.332763299,0.1520436801,0.1615469557,7,0
6,5,FR,12,1.683333333,0,0.1627034399,1.523619866,-0.1100527191,0.1627034399,7,1
7,5,HL,8,1.31,0.3733333333,0.1566493092,1.200151148,0.2463554359,0.1566493092,7,1
8,5,FL,12,1.683333333,0,0.1627034399,1.577802289,0.1519916791,0.1627034399,13,1
9,6,HR,7,1.31,0,0.1615469557,1.39586237,-0.1165181876,0.1615469557,7,0
10,6,HL,7,1.31,0,0.1615469557,1.396372289,0.1304817256,0.1615469557,7,0
11,7,HR,12,1.683333333,0,0.1627034399,1.638397406,-0.1291839682,0.1627034399,7,1
12,7,FR,17,2.056666667,0,0.1500441461,2.025123734,-0.1287662261,0.1500441461,17,0
13,7,HL,12,1.683333333,0,0.1627034399,1.638023478,0.1536165569,0.1627034399,12,0
14,7,FL,17,2.056666667,0,0.1500441461,2.024746969,0.1541884881,0.1500441461,17,0
15,9,HR,17,2.056666667,0,0.1500441461,2.088516212,-0.1253886657,0.1500441461,17,0
16,9,FR,22,2.43,0,0.1339731066,2.475021409,-0.1247286451,0.1339731066,22,0
17,9,HL,17,2.056666667,0,0.1500441461,2.088729012,0.1480351428,0.1500441461,17,0
18,9,FL,22,2.43,0,0.1339731066,2.475212619,0.1469482856,0.1339731066,22,0
19,10,HR,22,2.43,0,0.1339731066,2.337769352,-0.1100629435,0.1339731066,17,1
20,10,FR,27,2.803333333,0,0.1476256234,2.724929181,-0.1140901215,0.1476256234,27,0
21,10,HL,22,2.43,0,0.1339731066,2.342508311,0.1659996372,0.1339731066,22,0
22,10,FL,27,2.803333333,0,0.1476256234,2.72857958,0.1622059602,0.1476256234,27,0
23,12,HR,27,2.803333333,0,0.1476256234,2.811819786,-0.1306721695,0.1476256234,27,0
24,12,FR,32,3.176666667,0,0.1524775083,3.198620108,-0.1303968784,0.1524775083,32,0
25,12,HL,27,2.803333333,0,0.1476256234,2.811615433,0.1529283954,0.1476256234,27,0
26,12,FL,32,3.176666667,0,0.1524775083,3.198395606,0.1532410073,0.1524775083,32,0
27,13,FR,37,3.55,0,0.1455853957,3.390522833,-0.110065405,0.1455853957,32,1
28,13,HL,33,3.176666667,0.3733333333,0.155106694,3.067643033,0.2469134311,0.155106694,32,1
29,13,FL,37,3.55,0,0.1455853957,3.445556735,0.1507588567,0.1455853957,38,1
30,14,HR,32,3.176666667,0,0.1524775083,3.262109781,-0.1173375336,0.1524775083,32,0
31,14,HL,32,3.176666667,0,0.1524775083,3.263072614,0.1304132812,0.1524775083,32,0
32,15,HR,37,3.55,0,0.1455853957,3.50685101,-0.1163353603,0.1455853957,32,1
33,15,FR,42,3.923333333,0,0.1366742296,3.893607045,-0.1147367912,0.1366742296,42,0
34,15,HL,37,3.55,0,0.1455853957,3.505173286,0.1615858638,0.1455853957,37,0
35,15,FL,42,3.923333333,0,0.1366742296,3.891932023,0.1637617855,0.1366742296,42,0
