order,cycle,leg,stone_idx,stone_cx,stone_cy,stone_top_z,foot_x,foot_y,foot_z,naive_idx,differs
0,2,FR,1,0.9522222222,-0.2022222222,0.1507603772,0.8581566358,-0.1418936041,0.1507603772,-1,0
1,2,FL,2,0.9522222222,0.2022222222,0.14465322,0.860194765,0.1420863674,0.14465322,2,0
2,4,HR,1,0.9522222222,-0.2022222222,0.1507603772,0.9472233731,-0.1422913706,0.1507603772,1,0
3,4,FR,5,1.356666667,-0.2022222222,0.1512992666,1.333980436,-0.1445754189,0.1512992666,5,0
4,4,HL,2,0.9522222222,0.2022222222,0.14465322,0.9488703875,0.141699853,0.14465322,2,0
5,4,FL,6,1.356666667,0.2022222222,0.1549305342,1.33562542,0.1394162432,0.1549305342,6,0
6,5,HR,5,1.356666667,-0.2022222222,0.1512992666,1.190341561,-0.1466353648,0.1512992666,1,1
7,5,FR,9,1.761111111,-0.2022222222,0.149300355,1.580481196,-0.1468063224,0.149300355,5,1
8,5,HL,6,1.356666667,0.2022222222,0.1549305342,1.189667996,0.1373741709,0.1549305342,6,0
9,5,FL,10,1.761111111,0.2022222222,0.1521959022,1.57986259,0.1373873186,0.1521959022,10,0
10,7,HR,9,1.761111111,-0.2022222222,0.149300355,1.668995775,-0.1426285374,0.149300355,5,1
11,7,FR,13,2.165555556,-0.2022222222,0.1518959763,2.055511062,-0.1427395552,0.1518959763,13,0
12,7,HL,10,1.761111111,0.2022222222,0.1521959022,1.668928174,0.1413604691,0.1521959022,10,0
13,7,FL,14,2.165555556,0.2022222222,0.1467820285,2.056111779,0.1412682475,0.1467820285,14,0
14,9,HR,13,2.165555556,-0.2022222222,0.1518959763,2.148946635,-0.1435855984,0.1518959763,13,0
15,9,FR,17,2.57,-0.2022222222,0.1484856752,2.535751239,-0.1440317534,0.1484856752,17,0
16,9,HL,14,2.165555556,0.2022222222,0.1467820285,2.149238389,0.1404094518,0.1467820285,14,0
17,9,FL,18,2.57,0.2022222222,0.1507799641,2.536033231,0.1399650558,0.1507799641,18,0
18,11,HR,17,2.57,-0.2022222222,0.1484856752,2.623462585,-0.1434677008,0.1484856752,17,0
19,11,FR,21,2.974444444,-0.2022222222,0.1455782757,3.010252652,-0.1433272875,0.1455782757,21,0
20,11,HL,18,2.57,0.2022222222,0.1507799641,2.623386681,0.1405273572,0.1507799641,18,0
21,11,FL,22,2.974444444,0.2022222222,0.1467652973,3.01016774,0.1406682511,0.1467652973,22,0
22,12,HR,21,2.974444444,-0.2022222222,0.1455782757,2.868782232,-0.1527343427,0.1455782757,17,1
23,12,FR,25,3.378888889,-0.2022222222,0.1472587956,3.255354136,-0.1383891967,0.1472587956,21,1
24,12,HL,22,2.974444444,0.2022222222,0.1467652973,2.858279356,0.1310701226,0.1467652973,22,0
25,12,FL,26,3.378888889,0.2022222222,0.1496256753,3.244774674,0.1454142779,0.1496256753,26,0
26,14,HR,25,3.378888889,-0.2022222222,0.1472587956,3.342822164,-0.1460715462,0.1472587956,25,0
27,14,FR,29,3.783333333,-0.2022222222,0.1456708349,3.729635988,-0.1458497353,0.1456708349,29,0
28,14,HL,26,3.378888889,0.2022222222,0.1496256753,3.342640798,0.1379019524,0.1496256753,26,0
29,14,FL,30,3.783333333,0.2022222222,0.1517369954,3.729426645,0.138123771,0.1517369954,30,0
