order,cycle,leg,stone_idx,stone_cx,stone_cy,stone_top_z,foot_x,foot_y,foot_z,naive_idx,differs
0,2,FR,2,0.9133333333,-0.1633333333,0.1543614208,0.8595129143,-0.1358892329,0.1543614208,-1,0
1,2,FL,3,0.9133333333,0.1633333333,0.1288853224,0.8653567348,0.1486082901,0.1288853224,3,0
2,4,HR,2,0.9133333333,-0.1633333333,0.1543614208,0.9479374069,-0.1163864212,0.1543614208,2,0
3,4,FR,8,1.24,-0.1633333333,0.1676883503,1.331467565,-0.135646609,0.1676883503,8,0
4,4,HL,3,0.9133333333,0.1633333333,0.1288853224,0.959889397,0.1667415249,0.1288853224,3,0
5,4,FL,9,1.24,0.1633333333,0.1665775747,1.343431836,0.1474824104,0.1665775747,9,0
6,5,HR,8,1.24,-0.1633333333,0.1676883503,1.203723525,-0.1439568578,0.1676883503,2,1
7,5,FR,14,1.566666667,-0.1633333333,0.1807957586,1.588644367,-0.1070413022,0.1807957586,14,0
8,5,HL,9,1.24,0.1633333333,0.1665775747,1.175798501,0.1377630297,0.1665775747,9,0
9,5,FL,15,1.566666667,0.1633333333,0.1361431685,1.562073758,0.1740236391,0.1361431685,15,0
10,6,FR,20,1.893333333,-0.1633333333,0.1613277698,1.79991692,-0.1877472294,0.1613277698,14,1
11,6,HL,15,1.566666667,0.1633333333,0.1361431685,1.464739304,0.1558284687,0.1361431685,9,1
12,6,FL,21,1.893333333,0.1633333333,0.1690101941,1.826423543,0.09422965213,0.1690101941,21,0
13,7,HR,14,1.566666667,-0.1633333333,0.1807957586,1.636359034,-0.1507346197,0.1807957586,14,0
14,8,HR,20,1.893333333,-0.1633333333,0.1613277698,1.872257768,-0.1447978853,0.1613277698,14,1
15,8,FR,26,2.22,-0.1633333333,0.1818330093,2.259748736,-0.1419479678,0.1818330093,26,0
16,8,HL,21,1.893333333,0.1633333333,0.1690101941,1.869935741,0.1392859306,0.1690101941,21,0
17,8,FL,27,2.22,0.1633333333,0.1751003497,2.256303094,0.1419213369,0.1751003497,27,0
18,9,FR,32,2.546666667,-0.1633333333,0.1794251803,2.454917333,-0.189542553,0.1794251803,32,0
19,9,HL,27,2.22,0.1633333333,0.1751003497,2.116792922,0.1538175977,0.1751003497,21,1
20,9,FL,33,2.546666667,0.1633333333,0.1699468392,2.493672686,0.09325823226,0.1699468392,33,0
21,10,HR,26,2.22,-0.1633333333,0.1818330093,2.282418494,-0.146033238,0.1818330093,26,0
22,11,HR,32,2.546666667,-0.1633333333,0.1794251803,2.564890569,-0.164546809,0.1794251803,32,0
23,11,FR,38,2.873333333,-0.1633333333,0.1578584461,2.945116239,-0.149716681,0.1578584461,38,0
24,11,HL,33,2.546666667,0.1633333333,0.1699468392,2.550864454,0.1185532655,0.1699468392,33,0
25,11,FL,39,2.873333333,0.1633333333,0.1175491239,2.931753756,0.133580235,0.1175491239,39,0
26,12,HR,38,2.873333333,-0.1633333333,0.1578584461,2.785865299,-0.1549417536,0.1578584461,32,1
27,12,FR,44,3.2,-0.1633333333,0.149826091,3.166060048,-0.1747213321,0.149826091,44,0
28,12,HL,39,2.873333333,0.1633333333,0.1175491239,2.800062469,0.128756986,0.1175491239,39,0
29,12,FL,45,3.2,0.1633333333,0.1592981678,3.180749086,0.1070007018,0.1592981678,45,0
30,13,FR,50,3.526666667,-0.1633333333,0.1507545988,3.431091113,-0.1500000728,0.1507545988,44,1
31,13,FL,51,3.526666667,0.1633333333,0.1316211353,3.425421703,0.1367870688,0.1316211353,51,0
32,14,HR,44,3.2,-0.1633333333,0.149826091,3.235729914,-0.1440851863,0.149826091,44,0
33,14,HL,45,3.2,0.1633333333,0.1592981678,3.237751734,0.140745142,0.1592981678,45,0
34,15,HR,50,3.526666667,-0.1633333333,0.1507545988,3.485889004,-0.1342739079,0.1507545988,44,1
35,15,FR,56,3.853333333,-0.1633333333,0.1771036999,3.870778304,-0.1441167687,0.1771036999,56,0
36,15,HL,51,3.526666667,0.1633333333,0.1316211353,3.494209161,0.1493890159,0.1316211353,51,0
37,15,FL,57,3.853333333,0.1633333333,0.1682698222,3.879098161,0.1395462282,0.1682698222,57,0
