order,leg,stone_idx,cx,cy,top_z
0,FR,0,1.009071004,-0.3645900812,0.1641490829
1,FL,10,0.9791794373,0.2897541314,0.1625165642
2,HR,0,1.009071004,-0.3645900812,0.1641490829
3,FR,1,1.310771095,0.03781746537,0.1576208153
4,HL,10,0.9791794373,0.2897541314,0.1625165642
5,FL,11,1.43217112,0.3947720693,0.1510003081
6,HR,1,1.310771095,0.03781746537,0.1576208153
7,FR,2,1.600168463,-0.3377311273,0.1436277215
8,HL,11,1.43217112,0.3947720693,0.1510003081
9,FL,12,1.8012011,0.432637779,0.13506431
10,HR,2,1.600168463,-0.3377311273,0.1436277215
11,FR,3,1.887146823,0.008916180359,0.1317413874
12,HL,12,1.8012011,0.432637779,0.13506431
13,FL,13,2.17609599,0.360948135,0.1222177713
14,HR,3,1.887146823,0.008916180359,0.1317413874
15,FR,4,2.289773183,-0.3166129479,0.1250017041
16,HL,13,2.17609599,0.360948135,0.1222177713
17,FL,14,2.642053136,0.4522004042,0.1429043279
18,HR,4,2.289773183,-0.3166129479,0.1250017041
19,FR,5,2.572105178,0.08730230502,0.1366240662
20,HL,14,2.642053136,0.4522004042,0.1429043279
21,FL,15,3.115726928,0.4339497648,0.176139601
22,HR,5,2.572105178,0.08730230502,0.1366240662
23,FR,6,2.873075911,-0.274593712,0.1628396088
24,HL,15,3.115726928,0.4339497648,0.176139601
25,FL,16,3.599848858,0.4144577018,0.2196167199
26,HR,6,2.873075911,-0.274593712,0.1628396088
27,FR,7,3.176923908,0.08831202514,0.1794938806
28,HL,16,3.599848858,0.4144577018,0.2196167199
29,FL,17,3.942712844,0.4182145241,0.2334252617
30,HR,7,3.176923908,0.08831202514,0.1794938806
31,FR,8,3.525842232,-0.2792687198,0.2153688219
32,HL,17,3.942712844,0.4182145241,0.2334252617
33,HR,8,3.525842232,-0.2792687198,0.2153688219
34,FR,9,3.889356973,-0.02165037113,0.2293848534
