order,leg,stone_idx,cx,cy,top_z
0,FR,2,0.9366666667,0,0.1992029204
1,FL,2,0.9366666667,0,0.1992029204
2,HR,2,0.9366666667,0,0.1992029204
3,FR,7,1.31,0,0.1801976819
4,HL,2,0.9366666667,0,0.1992029204
5,FL,7,1.31,0,0.1801976819
6,HR,7,1.31,0,0.1801976819
7,FR,12,1.683333333,0,0.2261131675
8,HL,7,1.31,0,0.1801976819
9,FL,12,1.683333333,0,0.2261131675
10,HR,12,1.683333333,0,0.2261131675
11,FR,17,2.056666667,0,0.2291124761
12,HL,12,1.683333333,0,0.2261131675
13,FL,17,2.056666667,0,0.2291124761
14,HR,17,2.056666667,0,0.2291124761
15,FR,22,2.43,0,0.2197422535
16,HL,17,2.056666667,0,0.2291124761
17,FL,22,2.43,0,0.2197422535
18,HR,22,2.43,0,0.2197422535
19,FR,27,2.803333333,0,0.1713771075
20,HL,22,2.43,0,0.2197422535
21,FL,27,2.803333333,0,0.1713771075
22,HR,27,2.803333333,0,0.1713771075
23,FR,32,3.176666667,0,0.1534354523
24,HL,27,2.803333333,0,0.1713771075
25,FL,32,3.176666667,0,0.1534354523
26,HR,32,3.176666667,0,0.1534354523
27,FR,37,3.55,0,0.1069740165
28,HL,32,3.176666667,0,0.1534354523
29,FL,37,3.55,0,0.1069740165
30,HR,37,3.55,0,0.1069740165
31,FR,42,3.923333333,0,0.1093952651
32,HL,37,3.55,0,0.1069740165
33,FL,42,3.923333333,0,0.1093952651
