order,leg,stone_idx,cx,cy,top_z
0,FR,2,0.89,-0.28,0.1700762193
1,FL,3,0.89,0,0.1700762193
2,HR,2,0.89,-0.28,0.1700762193
3,FR,9,1.17,-0.28,0.196653832
4,HL,3,0.89,0,0.1700762193
5,FL,10,1.17,0,0.196653832
6,HR,9,1.17,-0.28,0.196653832
7,FR,16,1.45,-0.28,0.1588585433
8,HL,10,1.17,0,0.196653832
9,FL,17,1.45,0,0.1588585433
10,HR,16,1.45,-0.28,0.1588585433
11,FR,23,1.73,-0.28,0.193971179
12,HL,17,1.45,0,0.1588585433
13,FL,24,1.73,0,0.193971179
14,HR,23,1.73,-0.28,0.193971179
15,FR,30,2.01,-0.28,0.2379717593
16,HL,24,1.73,0,0.193971179
17,FL,31,2.01,0,0.2379717593
18,HR,30,2.01,-0.28,0.2379717593
19,FR,37,2.29,-0.28,0.236029691
20,HL,31,2.01,0,0.2379717593
21,FL,38,2.29,0,0.236029691
22,HR,37,2.29,-0.28,0.236029691
23,FR,44,2.57,-0.28,0.1901777778
24,HL,38,2.29,0,0.236029691
25,FL,45,2.57,0,0.1901777778
26,HR,44,2.57,-0.28,0.1901777778
27,FR,51,2.85,-0.28,0.1870859717
28,HL,45,2.57,0,0.1901777778
29,FL,52,2.85,0,0.1870859717
30,HR,51,2.85,-0.28,0.1870859717
31,FR,58,3.13,-0.28,0.1433596312
32,HL,52,2.85,0,0.1870859717
33,FL,59,3.13,0,0.1433596312
34,HR,58,3.13,-0.28,0.1433596312
35,FR,65,3.41,-0.28,0.1582228829
36,HL,59,3.13,0,0.1433596312
37,FL,66,3.41,0,0.1582228829
38,HR,65,3.41,-0.28,0.1582228829
39,FR,72,3.69,-0.28,0.1490981712
40,HL,66,3.41,0,0.1582228829
41,FL,73,3.69,0,0.1490981712
42,HR,72,3.69,-0.28,0.1490981712
43,FR,79,3.97,-0.28,0.107971274
44,HL,73,3.69,0,0.1490981712
45,FL,80,3.97,0,0.107971274
