order,cycle,leg,stone_idx,stone_cx,stone_cy,stone_top_z,foot_x,foot_y,foot_z,naive_idx,differs
0,2,FR,2,0.8977777778,-0.1477777778,0.1728247682,0.8675343273,-0.1414442115,0.1728247682,2,0
1,2,FL,3,0.8977777778,0.1477777778,0.162094316,0.8700990309,0.1440570776,0.162094316,3,0
2,3,FR,8,1.193333333,-0.1477777778,0.1462790069,1.127097718,-0.1386061387,0.1462790069,2,1
3,3,FL,9,1.193333333,0.1477777778,0.1580874814,1.125284332,0.1465317351,0.1580874814,9,0
4,4,HR,2,0.8977777778,-0.1477777778,0.1728247682,0.9321015763,-0.1485725682,0.1728247682,2,0
5,4,HL,3,0.8977777778,0.1477777778,0.162094316,0.9319949873,0.1448366504,0.162094316,3,0
6,5,HR,8,1.193333333,-0.1477777778,0.1462790069,1.186109694,-0.1412307027,0.1462790069,8,0
7,5,FR,14,1.488888889,-0.1477777778,0.178512633,1.564044724,-0.1342771494,0.178512633,14,0
8,5,HL,9,1.193333333,0.1477777778,0.1580874814,1.182847499,0.1439138266,0.1580874814,9,0
9,5,FL,15,1.488888889,0.1477777778,0.1863416639,1.56064912,0.1499480736,0.1863416639,15,0
10,6,HR,14,1.488888889,-0.1477777778,0.178512633,1.444138435,-0.1499977528,0.178512633,8,1
11,6,FR,20,1.784444444,-0.1477777778,0.1111300402,1.814892262,-0.1500502999,0.1111300402,20,0
12,6,HL,15,1.488888889,0.1477777778,0.1863416639,1.444360714,0.1374268433,0.1863416639,15,0
13,6,FL,21,1.784444444,0.1477777778,0.1432473113,1.820989003,0.1335675877,0.1432473113,21,0
14,7,FR,26,2.08,-0.1477777778,0.1371438976,2.054981643,-0.1497916976,0.1371438976,26,0
15,7,FL,27,2.08,0.1477777778,0.1372628347,2.05487393,0.1462736324,0.1372628347,27,0
16,8,HR,20,1.784444444,-0.1477777778,0.1111300402,1.847672591,-0.1499984234,0.1111300402,20,0
17,8,FR,32,2.375555556,-0.1477777778,0.114410216,2.297884389,-0.1499884697,0.114410216,26,1
18,8,HL,21,1.784444444,0.1477777778,0.1432473113,1.852241626,0.1393055348,0.1432473113,21,0
19,8,FL,33,2.375555556,0.1477777778,0.1895823585,2.291805648,0.1396903961,0.1895823585,33,0
20,9,HR,26,2.08,-0.1477777778,0.1371438976,2.063088811,-0.1426247103,0.1371438976,26,0
21,9,HL,27,2.08,0.1477777778,0.1372628347,2.069862077,0.1422259601,0.1372628347,27,0
22,10,FR,38,2.671111111,-0.1477777778,0.1601746406,2.615739216,-0.1702702697,0.1601746406,38,0
23,10,HL,33,2.375555556,0.1477777778,0.1895823585,2.291731331,0.1720075252,0.1895823585,27,1
24,10,FL,39,2.671111111,0.1477777778,0.1084955192,2.659430153,0.1140481017,0.1084955192,39,0
25,11,HR,32,2.375555556,-0.1477777778,0.114410216,2.438638666,-0.143837451,0.114410216,32,0
26,11,FR,44,2.966666667,-0.1477777778,0.1252143036,2.891066452,-0.1499439457,0.1252143036,38,1
27,11,FL,45,2.966666667,0.1477777778,0.1280614394,2.896149422,0.138291033,0.1280614394,45,0
28,12,HR,38,2.671111111,-0.1477777778,0.1601746406,2.691609039,-0.1431218912,0.1601746406,38,0
29,12,HL,39,2.671111111,0.1477777778,0.1084955192,2.689967044,0.1457852648,0.1084955192,39,0
30,13,HR,44,2.966666667,-0.1477777778,0.1252143036,2.945911826,-0.1475248899,0.1252143036,38,1
31,13,FR,50,3.262222222,-0.1477777778,0.1921561078,3.331017135,-0.1470904113,0.1921561078,50,0
32,13,HL,45,2.966666667,0.1477777778,0.1280614394,2.94547711,0.1364617161,0.1280614394,45,0
33,13,FL,51,3.262222222,0.1477777778,0.1935862224,3.330596522,0.1371717932,0.1935862224,51,0
34,14,HR,50,3.262222222,-0.1477777778,0.1921561078,3.196572945,-0.1226050057,0.1921561078,44,1
35,14,FR,56,3.557777778,-0.1477777778,0.1935030913,3.582596891,-0.09484764485,0.1935030913,56,0
36,14,HL,51,3.262222222,0.1477777778,0.1935862224,3.17794007,0.1596146118,0.1935862224,51,0
37,14,FL,57,3.557777778,0.1477777778,0.111360374,3.562861222,0.1865179522,0.111360374,57,0
38,15,FR,62,3.853333333,-0.1477777778,0.1274278387,3.833227603,-0.1498371726,0.1274278387,62,0
39,15,FL,63,3.853333333,0.1477777778,0.1647430327,3.82764792,0.1454954549,0.1647430327,63,0
