order,leg,stone_idx,cx,cy,top_z
0,FR,0,1.078050131,0.03242812906,0.1812635055
1,FL,0,1.078050131,0.03242812906,0.1812635055
2,HR,0,1.078050131,0.03242812906,0.1812635055
3,FR,10,1.412174171,0.03025726517,0.2016381018
4,HL,0,1.078050131,0.03242812906,0.1812635055
5,FL,10,1.412174171,0.03025726517,0.2016381018
6,HR,10,1.412174171,0.03025726517,0.2016381018
7,FR,2,1.72750469,-0.02714381095,0.1965321733
8,HL,10,1.412174171,0.03025726517,0.2016381018
9,FL,2,1.72750469,-0.02714381095,0.1965321733
10,HR,2,1.72750469,-0.02714381095,0.1965321733
11,FR,12,2.119646751,-0.01527786975,0.2290361754
12,HL,2,1.72750469,-0.02714381095,0.1965321733
13,FL,12,2.119646751,-0.01527786975,0.2290361754
14,HR,12,2.119646751,-0.01527786975,0.2290361754
15,FR,4,2.560564531,0.03793807028,0.1991286667
16,HL,12,2.119646751,-0.01527786975,0.2290361754
17,FL,4,2.560564531,0.03793807028,0.1991286667
18,HR,4,2.560564531,0.03793807028,0.1991286667
19,FR,14,2.861660454,0.002744064937,0.166295838
20,HL,4,2.560564531,0.03793807028,0.1991286667
21,FL,14,2.861660454,0.002744064937,0.166295838
22,HR,14,2.861660454,0.002744064937,0.166295838
23,FR,6,3.215911652,-0.004983717664,0.1319812629
24,HL,14,2.861660454,0.002744064937,0.166295838
25,FL,6,3.215911652,-0.004983717664,0.1319812629
26,HR,6,3.215911652,-0.004983717664,0.1319812629
27,FR,16,3.424462314,-0.0259678113,0.1138189431
28,HL,6,3.215911652,-0.004983717664,0.1319812629
29,FL,16,3.424462314,-0.0259678113,0.1138189431
30,HR,16,3.424462314,-0.0259678113,0.1138189431
31,FR,8,3.928015767,-0.002696266891,0.1143233293
32,HL,16,3.424462314,-0.0259678113,0.1138189431
33,FL,8,3.928015767,-0.002696266891,0.1143233293
