order,leg,stone_idx,cx,cy,top_z
0,FR,0,1.034641172,-0.03772978958,0.1737871369
1,FL,0,1.034641172,-0.03772978958,0.1737871369
2,HR,0,1.034641172,-0.03772978958,0.1737871369
3,FR,15,1.189282138,0.01158262591,0.1773825197
4,HL,0,1.034641172,-0.03772978958,0.1737871369
5,FL,15,1.189282138,0.01158262591,0.1773825197
6,HR,15,1.189282138,0.01158262591,0.1773825197
7,FR,2,1.515829189,-0.03389438244,0.17849783
8,HL,15,1.189282138,0.01158262591,0.1773825197
9,FL,2,1.515829189,-0.03389438244,0.17849783
10,HR,2,1.515829189,-0.03389438244,0.17849783
11,FR,3,1.751879734,-0.2737252678,0.2020422737
12,HL,2,1.515829189,-0.03389438244,0.17849783
13,FL,17,1.599912005,0.0263610551,0.1868845216
14,HR,3,1.751879734,-0.2737252678,0.2020422737
15,FR,4,1.941679836,-0.02438332504,0.2067406248
16,HL,17,1.599912005,0.0263610551,0.1868845216
17,FL,18,1.7988917,0.2721905482,0.2067313989
18,HR,4,1.941679836,-0.02438332504,0.2067406248
19,FR,5,2.166775297,-0.2459318826,0.2083445556
20,HL,18,1.7988917,0.2721905482,0.2067313989
21,FL,19,2.010228343,0.0147741883,0.2066916037
22,HR,5,2.166775297,-0.2459318826,0.2083445556
23,FR,6,2.39397032,-0.01746448446,0.2320849231
24,HL,19,2.010228343,0.0147741883,0.2066916037
25,FL,20,2.23541433,0.2622289084,0.2155168776
26,HR,6,2.39397032,-0.01746448446,0.2320849231
27,FR,21,2.474810592,0.03127921849,0.2405321934
28,HL,20,2.23541433,0.2622289084,0.2155168776
29,FL,21,2.474810592,0.03127921849,0.2405321934
30,HR,21,2.474810592,0.03127921849,0.2405321934
31,FR,8,2.79835488,-0.01465503272,0.2388414464
32,HL,21,2.474810592,0.03127921849,0.2405321934
33,FL,8,2.79835488,-0.01465503272,0.2388414464
34,HR,8,2.79835488,-0.01465503272,0.2388414464
35,FR,9,3.043855936,-0.2453283877,0.2260723302
36,HL,8,2.79835488,-0.01465503272,0.2388414464
37,FL,23,2.878511862,0.03727933072,0.2363251644
38,HR,9,3.043855936,-0.2453283877,0.2260723302
39,FR,10,3.286567792,-0.03359481893,0.2239033897
40,HL,23,2.878511862,0.03727933072,0.2363251644
41,FL,24,3.087163165,0.2737637439,0.2233868887
42,HR,10,3.286567792,-0.03359481893,0.2239033897
43,FR,11,3.508618847,-0.254753626,0.2431756905
44,HL,24,3.087163165,0.2737637439,0.2233868887
45,FL,25,3.269571347,0.02043902724,0.2224282308
46,HR,11,3.508618847,-0.254753626,0.2431756905
47,FR,12,3.711529423,-0.02398516922,0.229854217
48,HL,25,3.269571347,0.02043902724,0.2224282308
49,FL,26,3.47672996,0.2447402647,0.2404079837
50,HR,12,3.711529423,-0.02398516922,0.229854217
51,FR,13,3.923903912,-0.2618972197,0.2114398447
52,HL,26,3.47672996,0.2447402647,0.2404079837
53,FL,27,3.708757631,0.03515750879,0.2301444392
54,HR,13,3.923903912,-0.2618972197,0.2114398447
55,HL,27,3.708757631,0.03515750879,0.2301444392
56,FL,28,3.889402343,0.271157868,0.2112299265
