order,leg,stone_idx,cx,cy,top_z
0,FR,2,0.9055555556,-0.1555555556,0.18720919
1,FL,3,0.9055555556,0.1555555556,0.18720919
2,HR,2,0.9055555556,-0.1555555556,0.18720919
3,FR,8,1.216666667,-0.1555555556,0.1385752529
4,HL,3,0.9055555556,0.1555555556,0.18720919
5,FL,9,1.216666667,0.1555555556,0.1385752529
6,HR,8,1.216666667,-0.1555555556,0.1385752529
7,FR,14,1.527777778,-0.1555555556,0.1564588013
8,HL,9,1.216666667,0.1555555556,0.1385752529
9,FL,15,1.527777778,0.1555555556,0.1564588013
10,HR,14,1.527777778,-0.1555555556,0.1564588013
11,FR,20,1.838888889,-0.1555555556,0.1506234693
12,HL,15,1.527777778,0.1555555556,0.1564588013
13,FL,21,1.838888889,0.1555555556,0.1506234693
14,HR,20,1.838888889,-0.1555555556,0.1506234693
15,FR,26,2.15,-0.1555555556,0.1177592959
16,HL,21,1.838888889,0.1555555556,0.1506234693
17,FL,27,2.15,0.1555555556,0.1177592959
18,HR,26,2.15,-0.1555555556,0.1177592959
19,FR,32,2.461111111,-0.1555555556,0.1026391903
20,HL,27,2.15,0.1555555556,0.1177592959
21,FL,33,2.461111111,0.1555555556,0.1026391903
22,HR,32,2.461111111,-0.1555555556,0.1026391903
23,FR,38,2.772222222,-0.1555555556,0.1073060924
24,HL,33,2.461111111,0.1555555556,0.1026391903
25,FL,39,2.772222222,0.1555555556,0.1073060924
26,HR,38,2.772222222,-0.1555555556,0.1073060924
27,FR,44,3.083333333,-0.1555555556,0.1159928402
28,HL,39,2.772222222,0.1555555556,0.1073060924
29,FL,45,3.083333333,0.1555555556,0.1159928402
30,HR,44,3.083333333,-0.1555555556,0.1159928402
31,FR,50,3.394444444,-0.1555555556,0.1181440841
32,HL,45,3.083333333,0.1555555556,0.1159928402
33,FL,51,3.394444444,0.1555555556,0.1181440841
34,HR,50,3.394444444,-0.1555555556,0.1181440841
35,FR,56,3.705555556,-0.1555555556,0.1585851005
36,HL,51,3.394444444,0.1555555556,0.1181440841
37,FL,57,3.705555556,0.1555555556,0.1585851005
38,HR,56,3.705555556,-0.1555555556,0.1585851005
39,FR,62,4.016666667,-0.1555555556,0.1635967581
40,HL,57,3.705555556,0.1555555556,0.1585851005
41,FL,63,4.016666667,0.1555555556,0.1635967581
