order,leg,stone_idx,cx,cy,top_z
0,FR,2,0.9288888889,0,0.1094589326
1,FL,2,0.9288888889,0,0.1094589326
2,HR,2,0.9288888889,0,0.1094589326
3,FR,7,1.286666667,0,0.1176910765
4,HL,2,0.9288888889,0,0.1094589326
5,FL,7,1.286666667,0,0.1176910765
6,HR,7,1.286666667,0,0.1176910765
7,FR,12,1.644444444,0,0.1176606859
8,HL,7,1.286666667,0,0.1176910765
9,FL,12,1.644444444,0,0.1176606859
10,HR,12,1.644444444,0,0.1176606859
11,FR,17,2.002222222,0,0.1061341775
12,HL,12,1.644444444,0,0.1176606859
13,FL,17,2.002222222,0,0.1061341775
14,HR,17,2.002222222,0,0.1061341775
15,FR,22,2.36,0,0.1338533165
16,HL,17,2.002222222,0,0.1061341775
17,FL,22,2.36,0,0.1338533165
18,HR,22,2.36,0,0.1338533165
19,FR,27,2.717777778,0,0.1682442634
20,HL,22,2.36,0,0.1338533165
21,FL,27,2.717777778,0,0.1682442634
22,HR,27,2.717777778,0,0.1682442634
23,FR,32,3.075555556,0,0.1981058255
24,HL,27,2.717777778,0,0.1682442634
25,FL,32,3.075555556,0,0.1981058255
26,HR,32,3.075555556,0,0.1981058255
27,FR,37,3.433333333,0,0.1875334094
28,HL,32,3.075555556,0,0.1981058255
29,FL,37,3.433333333,0,0.1875334094
30,HR,37,3.433333333,0,0.1875334094
31,FR,42,3.791111111,0,0.1861827356
32,HL,37,3.433333333,0,0.1875334094
33,FL,42,3.791111111,0,0.1861827356
