order,cycle,leg,stone_idx,stone_cx,stone_cy,stone_top_z,foot_x,foot_y,foot_z,naive_idx,differs
0,2,FR,2,0.9444444444,0,0.1571331829,0.8606697122,-0.1301605113,0.1571331829,-1,0
1,2,FL,2,0.9444444444,0,0.1571331829,0.8605928073,0.1303513508,0.1571331829,2,0
2,4,HR,2,0.9444444444,0,0.1571331829,0.9511688592,-0.1318104882,0.1571331829,2,0
3,4,FR,7,1.333333333,0,0.14930336,1.338099306,-0.1302655838,0.14930336,7,0
4,4,HL,2,0.9444444444,0,0.1571331829,0.951328129,0.1304673,0.1571331829,2,0
5,4,FL,7,1.333333333,0,0.14930336,1.33813392,0.1295887127,0.14930336,7,0
6,5,HR,7,1.333333333,0,0.14930336,1.210179027,-0.1202013556,0.14930336,2,1
7,5,FR,12,1.722222222,0,0.1451734881,1.597826311,-0.1255384698,0.1451734881,7,1
8,5,HL,7,1.333333333,0,0.14930336,1.21458909,0.1580129826,0.14930336,7,0
9,5,FL,12,1.722222222,0,0.1451734881,1.600418707,0.1551642415,0.1451734881,12,0
10,7,HR,12,1.722222222,0,0.1451734881,1.689417574,-0.1422337536,0.1451734881,12,0
11,7,FR,17,2.111111111,0,0.1480947332,2.076213107,-0.1423389155,0.1480947332,17,0
12,7,HL,12,1.722222222,0,0.1451734881,1.689479226,0.1417471679,0.1451734881,12,0
13,7,FL,17,2.111111111,0,0.1480947332,2.076274452,0.1416770048,0.1480947332,17,0
14,9,HR,17,2.111111111,0,0.1480947332,2.143360017,-0.1315844604,0.1480947332,17,0
15,9,FR,22,2.5,0,0.1505166234,2.530360608,-0.1321569738,0.1505166234,22,0
16,9,HL,17,2.111111111,0,0.1480947332,2.143490036,0.1302973256,0.1480947332,17,0
17,9,FL,22,2.5,0,0.1505166234,2.530386864,0.1308458193,0.1505166234,22,0
18,10,HR,22,2.5,0,0.1505166234,2.383545153,-0.1423558078,0.1505166234,17,1
19,10,FR,27,2.888888889,0,0.1537202307,2.770314152,-0.1423711963,0.1537202307,22,1
20,10,HL,22,2.5,0,0.1505166234,2.383564839,0.1416411963,0.1505166234,22,0
21,10,FL,27,2.888888889,0,0.1537202307,2.77033381,0.1416258059,0.1537202307,27,0
22,12,HR,27,2.888888889,0,0.1537202307,2.859322048,-0.1423466017,0.1537202307,27,0
23,12,FR,32,3.277777778,0,0.1519225097,3.246120168,-0.1423444129,0.1519225097,32,0
24,12,HL,27,2.888888889,0,0.1537202307,2.859322825,0.1416517149,0.1537202307,27,0
25,12,FL,32,3.277777778,0,0.1519225097,3.246120756,0.1416543915,0.1519225097,32,0
26,14,HR,32,3.277777778,0,0.1519225097,3.322974846,-0.1426679151,0.1519225097,32,0
27,14,FR,37,3.666666667,0,0.1448890661,3.709750213,-0.1426034079,0.1448890661,37,0
28,14,HL,32,3.277777778,0,0.1519225097,3.322984203,0.1414074255,0.1519225097,32,0
29,14,FL,37,3.666666667,0,0.1448890661,3.70975981,0.1413642886,0.1448890661,37,0
