order,leg,stone_idx,cx,cy,top_z
0,FR,65,0.9729961548,-0.3049362897,0.1369716191
1,FL,16,1.097501581,0.0009784265554,0.1438551787
2,HR,65,0.9729961548,-0.3049362897,0.1369716191
3,FR,1,1.305508832,-0.3078265021,0.1303854765
4,HL,16,1.097501581,0.0009784265554,0.1438551787
5,FL,17,1.319648083,0.3134882683,0.1294617846
6,HR,1,1.305508832,-0.3078265021,0.1303854765
7,FR,18,1.51281427,0.004004867696,0.1189258922
8,HL,17,1.319648083,0.3134882683,0.1294617846
9,FL,2,1.525162222,0.01225851715,0.1185287567
10,HR,18,1.51281427,0.004004867696,0.1189258922
11,FR,2,1.525162222,0.01225851715,0.1185287567
12,HL,2,1.525162222,0.01225851715,0.1185287567
13,FL,20,1.914740104,0.0199109445,0.1120347118
14,HR,2,1.525162222,0.01225851715,0.1185287567
15,FR,20,1.914740104,0.0199109445,0.1120347118
16,HL,20,1.914740104,0.0199109445,0.1120347118
17,FL,4,1.938003377,0.02835307401,0.1125102159
18,HR,20,1.914740104,0.0199109445,0.1120347118
19,FR,4,1.938003377,0.02835307401,0.1125102159
20,HL,4,1.938003377,0.02835307401,0.1125102159
21,FL,21,2.126935775,0.298404717,0.1163720172
22,HR,4,1.938003377,0.02835307401,0.1125102159
23,FR,5,2.143926268,-0.3103262235,0.1167193049
24,HL,21,2.126935775,0.298404717,0.1163720172
25,FL,6,2.344107469,0.03196775578,0.1310641542
26,HR,5,2.143926268,-0.3103262235,0.1167193049
27,FR,7,2.533335938,-0.2927952864,0.1456355831
28,HL,6,2.344107469,0.03196775578,0.1310641542
29,FL,8,2.738366887,0.04494946006,0.165012141
30,HR,7,2.533335938,-0.2927952864,0.1456355831
31,FR,24,2.802180826,-0.01643829825,0.1710429109
32,HL,8,2.738366887,0.04494946006,0.165012141
33,FL,24,2.802180826,-0.01643829825,0.1710429109
34,HR,24,2.802180826,-0.01643829825,0.1710429109
35,FR,26,3.180539027,0.01266893908,0.2000751772
36,HL,24,2.802180826,-0.01643829825,0.1710429109
37,FL,26,3.180539027,0.01266893908,0.2000751772
38,HR,26,3.180539027,0.01266893908,0.2000751772
39,FR,28,3.57297804,0.006281028516,0.2221476605
40,HL,26,3.180539027,0.01266893908,0.2000751772
41,FL,28,3.57297804,0.006281028516,0.2221476605
42,HR,28,3.57297804,0.006281028516,0.2221476605
43,FR,30,3.950857849,0.01425369252,0.240814496
44,HL,28,3.57297804,0.006281028516,0.2221476605
45,FL,30,3.950857849,0.01425369252,0.240814496
