order,leg,stone_idx,cx,cy,top_z
0,FR,1,0.96,-0.21,0.1288133314
1,FL,2,0.96,0.21,0.1288133314
2,HR,1,0.96,-0.21,0.1288133314
3,FR,5,1.38,-0.21,0.1746102414
4,HL,2,0.96,0.21,0.1288133314
5,FL,6,1.38,0.21,0.1746102414
6,HR,5,1.38,-0.21,0.1746102414
7,FR,9,1.8,-0.21,0.1294013162
8,HL,6,1.38,0.21,0.1746102414
9,FL,10,1.8,0.21,0.1294013162
10,HR,9,1.8,-0.21,0.1294013162
11,FR,13,2.22,-0.21,0.1654935261
12,HL,10,1.8,0.21,0.1294013162
13,FL,14,2.22,0.21,0.1654935261
14,HR,13,2.22,-0.21,0.1654935261
15,FR,17,2.64,-0.21,0.1706726939
16,HL,14,2.22,0.21,0.1654935261
17,FL,18,2.64,0.21,0.1706726939
18,HR,17,2.64,-0.21,0.1706726939
19,FR,21,3.06,-0.21,0.167219849
20,HL,18,2.64,0.21,0.1706726939
21,FL,22,3.06,0.21,0.167219849
22,HR,21,3.06,-0.21,0.167219849
23,FR,25,3.48,-0.21,0.2161992278
24,HL,22,3.06,0.21,0.167219849
25,FL,26,3.48,0.21,0.2161992278
26,HR,25,3.48,-0.21,0.2161992278
27,FR,29,3.9,-0.21,0.2551115985
28,HL,26,3.48,0.21,0.2161992278
29,FL,30,3.9,0.21,0.2551115985
