order,leg,stone_idx,cx,cy,top_z
0,FR,1,1.105118496,-0.005877963334,0.1681885459
1,FL,1,1.105118496,-0.005877963334,0.1681885459
2,HR,1,1.105118496,-0.005877963334,0.1681885459
3,FR,17,1.27699902,-0.03941477521,0.1856125673
4,HL,1,1.105118496,-0.005877963334,0.1681885459
5,FL,17,1.27699902,-0.03941477521,0.1856125673
6,HR,17,1.27699902,-0.03941477521,0.1856125673
7,FR,3,1.51508872,0.02212723114,0.2091918584
8,HL,17,1.27699902,-0.03941477521,0.1856125673
9,FL,3,1.51508872,0.02212723114,0.2091918584
10,HR,3,1.51508872,0.02212723114,0.2091918584
11,FR,19,1.725296532,-0.0336315528,0.2287038352
12,HL,3,1.51508872,0.02212723114,0.2091918584
13,FL,19,1.725296532,-0.0336315528,0.2287038352
14,HR,19,1.725296532,-0.0336315528,0.2287038352
15,FR,5,1.90816028,-0.000244957561,0.2402957408
16,HL,19,1.725296532,-0.0336315528,0.2287038352
17,FL,5,1.90816028,-0.000244957561,0.2402957408
18,HR,5,1.90816028,-0.000244957561,0.2402957408
19,FR,21,2.171414188,-0.0007768384862,0.2502761823
20,HL,5,1.90816028,-0.000244957561,0.2402957408
21,FL,21,2.171414188,-0.0007768384862,0.2502761823
22,HR,21,2.171414188,-0.0007768384862,0.2502761823
23,FR,7,2.39743817,-0.02064462533,0.2456952136
24,HL,21,2.171414188,-0.0007768384862,0.2502761823
25,FL,7,2.39743817,-0.02064462533,0.2456952136
26,HR,7,2.39743817,-0.02064462533,0.2456952136
27,FR,23,2.613997531,0.006032630415,0.2446816079
28,HL,7,2.39743817,-0.02064462533,0.2456952136
29,FL,23,2.613997531,0.006032630415,0.2446816079
30,HR,23,2.613997531,0.006032630415,0.2446816079
31,FR,9,2.788849638,-0.01710375089,0.2463152508
32,HL,23,2.613997531,0.006032630415,0.2446816079
33,FL,9,2.788849638,-0.01710375089,0.2463152508
34,HR,9,2.788849638,-0.01710375089,0.2463152508
35,FR,25,3.039733033,4.95916536e-05,0.2467389902
36,HL,9,2.788849638,-0.01710375089,0.2463152508
37,FL,25,3.039733033,4.95916536e-05,0.2467389902
38,HR,25,3.039733033,4.95916536e-05,0.2467389902
39,FR,11,3.255145344,-0.01911123219,0.2472957464
40,HL,25,3.039733033,4.95916536e-05,0.2467389902
41,FL,11,3.255145344,-0.01911123219,0.2472957464
42,HR,11,3.255145344,-0.01911123219,0.2472957464
43,FR,27,3.406740717,-0.003659712993,0.2491689901
44,HL,11,3.255145344,-0.01911123219,0.2472957464
45,FL,27,3.406740717,-0.003659712993,0.2491689901
46,HR,27,3.406740717,-0.003659712993,0.2491689901
47,FR,13,3.631921625,0.008501360011,0.246819338
48,HL,27,3.406740717,-0.003659712993,0.2491689901
49,FL,13,3.631921625,0.008501360011,0.246819338
50,HR,13,3.631921625,0.008501360011,0.246819338
51,FR,29,3.828720348,-0.03171418339,0.2369222116
52,HL,13,3.631921625,0.008501360011,0.246819338
53,FL,29,3.828720348,-0.03171418339,0.2369222116
54,HR,29,3.828720348,-0.03171418339,0.2369222116
55,FR,15,4.06623669,0.001654215396,0.2337199387
56,HL,29,3.828720348,-0.03171418339,0.2369222116
57,FL,15,4.06623669,0.001654215396,0.2337199387
