cycle,leg,nom_x,nom_y,on,stone_idx,ix,iy,cx,cy,top_z,role,dz_prev,marginal,infeasible
0,HR,-0.1842,-0.1419,strip,-1,-1,-1,-0.1842,-0.1419,0.1500,,,0,0
0,FR,0.2409,-0.1415,strip,-1,-1,-1,0.2409,-0.1415,0.1500,,,0,0
0,HL,-0.0739,0.1424,strip,-1,-1,-1,-0.0739,0.1424,0.1500,,,0,0
0,FL,0.4094,0.1412,strip,-1,-1,-1,0.4094,0.1412,0.1500,,,0,0
1,HR,0.0558,-0.1419,strip,-1,-1,-1,0.0558,-0.1419,0.1500,,,0,0
1,FR,0.4809,-0.1415,strip,-1,-1,-1,0.4809,-0.1415,0.1500,,,0,0
1,HL,0.1661,0.1424,strip,-1,-1,-1,0.1661,0.1424,0.1500,,,0,0
1,FL,0.6494,0.1412,strip,-1,-1,-1,0.6494,0.1412,0.1500,,,0,0
2,HR,0.2958,-0.1419,strip,-1,-1,-1,0.2958,-0.1419,0.1500,,,0,0
2,FR,0.7209,-0.1415,strip,-1,-1,-1,0.7209,-0.1415,0.1500,,,0,0
2,HL,0.4061,0.1424,strip,-1,-1,-1,0.4061,0.1424,0.1500,,,0,0
2,FL,0.8894,0.1412,stone,15,0,1,0.9835,0.2478,0.1765,path,0.0265,0,0
3,HR,0.5358,-0.1419,strip,-1,-1,-1,0.5358,-0.1419,0.1500,,,0,0
3,FR,0.9609,-0.1415,stone,0,0,0,0.9262,-0.2449,0.1700,path,0.0200,0,0
3,HL,0.6461,0.1424,strip,-1,-1,-1,0.6461,0.1424,0.1500,,,0,0
3,FL,1.1294,0.1412,stone,16,1,1,1.1911,0.0335,0.1987,path,0.0222,0,0
4,HR,0.7758,-0.1419,stone,0,0,0,0.9262,-0.2449,0.1700,path,0.0200,0,0
4,FR,1.2009,-0.1415,stone,1,1,0,1.1774,-0.0465,0.1974,path,0.0274,0,0
4,HL,0.8861,0.1424,stone,15,0,1,0.9835,0.2478,0.1765,path,0.0265,0,0
4,FL,1.3694,0.1412,stone,17,2,1,1.4445,0.2372,0.2236,path,0.0249,0,0
5,HR,1.0158,-0.1419,stone,0,0,0,0.9262,-0.2449,0.1700,path,0.0000,0,0
5,FR,1.4409,-0.1415,stone,2,2,0,1.3635,-0.2519,0.2157,path,0.0183,0,0
5,HL,1.1261,0.1424,stone,16,1,1,1.1911,0.0335,0.1987,path,0.0222,0,0
5,FL,1.6094,0.1412,stone,18,3,1,1.6317,0.0574,0.2061,path,-0.0175,0,0
6,HR,1.2558,-0.1419,stone,1,1,0,1.1774,-0.0465,0.1974,path,0.0274,0,0
6,FR,1.6809,-0.1415,stone,3,3,0,1.6235,-0.0602,0.2069,path,-0.0087,0,0
6,HL,1.3661,0.1424,stone,17,2,1,1.4445,0.2372,0.2236,path,0.0249,0,0
6,FL,1.8494,0.1412,stone,19,4,1,1.8806,0.2538,0.1895,path,-0.0166,0,0
7,HR,1.4958,-0.1419,stone,3,3,0,1.6235,-0.0602,0.2069,path,0.0096,0,0
7,FR,1.9209,-0.1415,stone,5,5,0,2.0211,-0.0461,0.1896,path,-0.0173,0,0
7,HL,1.6061,0.1424,stone,18,3,1,1.6317,0.0574,0.2061,path,-0.0175,0,0
7,FL,2.0894,0.1412,stone,20,5,1,2.1187,0.0392,0.1897,path,0.0002,0,0
8,HR,1.7358,-0.1419,stone,4,4,0,1.8083,-0.2568,0.1895,path,-0.0175,0,0
8,FR,2.1609,-0.1415,stone,6,6,0,2.2302,-0.2528,0.1855,path,-0.0042,0,0
8,HL,1.8461,0.1424,stone,19,4,1,1.8806,0.2538,0.1895,path,-0.0166,0,0
8,FL,2.3294,0.1412,stone,21,6,1,2.3302,0.2468,0.1801,path,-0.0096,0,0
9,HR,1.9758,-0.1419,stone,5,5,0,2.0211,-0.0461,0.1896,path,0.0002,0,0
9,FR,2.4009,-0.1415,stone,7,7,0,2.4310,-0.0262,0.1747,path,-0.0108,0,0
9,HL,2.0861,0.1424,stone,20,5,1,2.1187,0.0392,0.1897,path,0.0002,0,0
9,FL,2.5694,0.1412,stone,22,7,1,2.5331,0.0255,0.1704,path,-0.0097,0,0
10,HR,2.2158,-0.1419,stone,6,6,0,2.2302,-0.2528,0.1855,path,-0.0042,0,0
10,FR,2.6409,-0.1415,stone,8,8,0,2.6484,-0.2270,0.1685,path,-0.0062,0,0
