cycle,leg,nom_x,nom_y,on,stone_idx,ix,iy,cx,cy,top_z,role,dz_prev,marginal,infeasible
0,HR,-0.1842,-0.1419,strip,-1,-1,-1,-0.1842,-0.1419,0.1500,,,0,0
0,FR,0.2409,-0.1415,strip,-1,-1,-1,0.2409,-0.1415,0.1500,,,0,0
0,HL,-0.0739,0.1424,strip,-1,-1,-1,-0.0739,0.1424,0.1500,,,0,0
0,FL,0.4094,0.1412,strip,-1,-1,-1,0.4094,0.1412,0.1500,,,0,0
1,HR,0.0558,-0.1419,strip,-1,-1,-1,0.0558,-0.1419,0.1500,,,0,0
1,FR,0.4809,-0.1415,strip,-1,-1,-1,0.4809,-0.1415,0.1500,,,0,0
1,HL,0.1661,0.1424,strip,-1,-1,-1,0.1661,0.1424,0.1500,,,0,0
1,FL,0.6494,0.1412,strip,-1,-1,-1,0.6494,0.1412,0.1500,,,0,0
2,HR,0.2958,-0.1419,strip,-1,-1,-1,0.2958,-0.1419,0.1500,,,0,0
2,FR,0.7209,-0.1415,strip,-1,-1,-1,0.7209,-0.1415,0.1500,,,0,0
2,HL,0.4061,0.1424,strip,-1,-1,-1,0.4061,0.1424,0.1500,,,0,0
2,FL,0.8894,0.1412,stone,15,0,1,1.0594,0.0441,0.1543,path,0.0043,0,0
3,HR,0.5358,-0.1419,strip,-1,-1,-1,0.5358,-0.1419,0.1500,,,0,0
3,FR,0.9609,-0.1415,stone,0,0,0,0.9315,-0.0594,0.1525,path,0.0025,0,0
3,HL,0.6461,0.1424,strip,-1,-1,-1,0.6461,0.1424,0.1500,,,0,0
3,FL,1.1294,0.1412,stone,15,0,1,1.0594,0.0441,0.1543,path,0.0000,0,0
4,HR,0.7758,-0.1419,stone,0,0,0,0.9315,-0.0594,0.1525,path,0.0025,0,0
4,FR,1.2009,-0.1415,stone,1,1,0,1.2071,-0.2184,0.1599,path,0.0075,0,0
4,HL,0.8861,0.1424,stone,15,0,1,1.0594,0.0441,0.1543,path,0.0043,0,0
4,FL,1.3694,0.1412,stone,16,1,1,1.2670,0.2208,0.1628,path,0.0086,0,0
5,HR,1.0158,-0.1419,stone,0,0,0,0.9315,-0.0594,0.1525,path,0.0000,0,0
5,FR,1.4409,-0.1415,stone,2,2,0,1.4280,-0.0672,0.1705,path,0.0106,0,0
5,HL,1.1261,0.1424,stone,15,0,1,1.0594,0.0441,0.1543,path,0.0000,0,0
5,FL,1.6094,0.1412,stone,17,2,1,1.5412,0.0742,0.1813,path,0.0185,0,0
6,HR,1.2558,-0.1419,stone,1,1,0,1.2071,-0.2184,0.1599,path,0.0075,0,0
6,FR,1.6809,-0.1415,stone,3,3,0,1.6358,-0.2381,0.1913,path,0.0208,0,0
6,HL,1.3661,0.1424,stone,16,1,1,1.2670,0.2208,0.1628,path,0.0086,0,0
6,FL,1.8494,0.1412,stone,18,3,1,1.7517,0.2041,0.2037,path,0.0224,0,0
7,HR,1.4958,-0.1419,stone,2,2,0,1.4280,-0.0672,0.1705,path,0.0106,0,0
7,FR,1.9209,-0.1415,stone,5,5,0,2.0089,-0.2045,0.2073,path,0.0159,0,0
7,HL,1.6061,0.1424,stone,17,2,1,1.5412,0.0742,0.1813,path,0.0185,0,0
7,FL,2.0894,0.1412,stone,19,4,1,2.0126,0.0676,0.2073,path,0.0036,0,0
8,HR,1.7358,-0.1419,stone,4,4,0,1.8249,-0.0583,0.2086,path,0.0381,0,0
8,FR,2.1609,-0.1415,stone,6,6,0,2.2517,-0.0679,0.1964,path,-0.0109,0,0
8,HL,1.8461,0.1424,stone,18,3,1,1.7517,0.2041,0.2037,path,0.0224,0,0
8,FL,2.3294,0.1412,stone,20,5,1,2.2497,0.2385,0.1966,path,-0.0107,0,0
9,HR,1.9758,-0.1419,stone,5,5,0,2.0089,-0.2045,0.2073,path,-0.0013,0,0
9,FR,2.4009,-0.1415,stone,7,7,0,2.4630,-0.2310,0.1759,path,-0.0205,0,0
9,HL,2.0861,0.1424,stone,19,4,1,2.0126,0.0676,0.2073,path,0.0036,0,0
9,FL,2.5694,0.1412,stone,21,6,1,2.4601,0.0715,0.1762,path,-0.0204,0,0
10,HR,2.2158,-0.1419,stone,6,6,0,2.2517,-0.0679,0.1964,path,-0.0109,0,0
10,FR,2.6409,-0.1415,stone,8,8,0,2.7117,-0.0457,0.1539,path,-0.0221,0,0
