order,cycle,leg,stone_idx,stone_cx,stone_cy,stone_top_z,foot_x,foot_y,foot_z,naive_idx,differs
0,2,FR,1,0.96,-0.21,0.15,0.8587311779,-0.1431573201,0.15,-1,0
1,2,FL,2,0.96,0.21,0.15,0.8587344234,0.1408426799,0.15,2,0
2,4,HR,1,0.96,-0.21,0.15,0.9508990418,-0.1428384637,0.15,1,0
3,4,FR,5,1.38,-0.21,0.15,1.337699042,-0.1428426015,0.15,5,0
4,4,HL,2,0.96,0.21,0.15,0.9509020799,0.1411615363,0.15,2,0
5,4,FL,6,1.38,0.21,0.15,1.33770208,0.1411573985,0.15,6,0
6,5,HR,5,1.38,-0.21,0.15,1.180573383,-0.1429773936,0.15,1,1
7,5,HL,6,1.38,0.21,0.15,1.181145238,0.1406738337,0.15,2,1
8,6,FR,9,1.8,-0.21,0.15,1.813475538,-0.143073699,0.15,9,0
9,6,FL,10,1.8,0.21,0.15,1.813478122,0.1409262945,0.15,10,0
10,7,HR,9,1.8,-0.21,0.15,1.666734291,-0.1436586307,0.15,5,1
11,7,FR,13,2.22,-0.21,0.15,2.053420456,-0.1436586311,0.15,9,1
12,7,HL,10,1.8,0.21,0.15,1.666734291,0.1403413693,0.15,10,0
13,7,FL,14,2.22,0.21,0.15,2.053420456,0.1403413689,0.15,14,0
14,9,HR,13,2.22,-0.21,0.15,2.146667726,-0.1429356731,0.15,9,1
15,9,FR,17,2.64,-0.21,0.15,2.533467238,-0.1429443005,0.15,17,0
16,9,HL,14,2.22,0.21,0.15,2.146674061,0.1410643268,0.15,14,0
17,9,FL,18,2.64,0.21,0.15,2.533473567,0.1410556994,0.15,18,0
18,11,HR,17,2.64,-0.21,0.15,2.6228992,-0.1443738941,0.15,17,0
19,11,FR,21,3.06,-0.21,0.15,3.009699242,-0.1443970991,0.15,21,0
20,11,HL,18,2.64,0.21,0.15,2.622916258,0.139626071,0.15,18,0
21,11,FL,22,3.06,0.21,0.15,3.009716259,0.139602899,0.15,22,0
22,12,HR,21,3.06,-0.21,0.15,2.862974007,-0.1458957738,0.15,17,1
23,12,HL,22,3.06,0.21,0.15,2.862975607,0.1381042255,0.15,18,1
24,13,FR,25,3.48,-0.21,0.15,3.489747645,-0.1437441344,0.15,25,0
25,13,FL,26,3.48,0.21,0.15,3.489757233,0.1402558655,0.15,26,0
26,14,HR,25,3.48,-0.21,0.15,3.336862295,-0.1432380978,0.15,21,1
27,14,FR,29,3.9,-0.21,0.15,3.725332696,-0.1434572507,0.15,25,1
28,14,HL,26,3.48,0.21,0.15,3.337106822,0.1405406821,0.15,26,0
29,14,FL,30,3.9,0.21,0.15,3.725350826,0.1405301852,0.15,30,0
