cycle,leg,nom_x,nom_y,on,stone_idx,ix,iy,cx,cy,top_z,role,dz_prev,marginal,infeasible
0,HR,-0.1842,-0.1419,strip,-1,-1,-1,-0.1842,-0.1419,0.1500,,,0,0
0,FR,0.2409,-0.1415,strip,-1,-1,-1,0.2409,-0.1415,0.1500,,,0,0
0,HL,-0.0739,0.1424,strip,-1,-1,-1,-0.0739,0.1424,0.1500,,,0,0
0,FL,0.4094,0.1412,strip,-1,-1,-1,0.4094,0.1412,0.1500,,,0,0
1,HR,0.0558,-0.1419,strip,-1,-1,-1,0.0558,-0.1419,0.1500,,,0,0
1,FR,0.4809,-0.1415,strip,-1,-1,-1,0.4809,-0.1415,0.1500,,,0,0
1,HL,0.1661,0.1424,strip,-1,-1,-1,0.1661,0.1424,0.1500,,,0,0
1,FL,0.6494,0.1412,strip,-1,-1,-1,0.6494,0.1412,0.1500,,,0,0
2,HR,0.2958,-0.1419,strip,-1,-1,-1,0.2958,-0.1419,0.1500,,,0,0
2,FR,0.7209,-0.1415,strip,-1,-1,-1,0.7209,-0.1415,0.1500,,,0,0
2,HL,0.4061,0.1424,strip,-1,-1,-1,0.4061,0.1424,0.1500,,,0,0
2,FL,0.8894,0.1412,stone,46,-1,2,0.8676,0.1500,0.5500,trap,0.4000,1,1
3,HR,0.5358,-0.1419,strip,-1,-1,-1,0.5358,-0.1419,0.1500,,,0,0
3,FR,0.9609,-0.1415,stone,0,0,0,0.9619,-0.0199,0.1573,path,0.0073,0,0
3,HL,0.6461,0.1424,strip,-1,-1,-1,0.6461,0.1424,0.1500,,,0,0
3,FL,1.1294,0.1412,stone,43,-1,2,1.1479,0.1335,0.5312,trap,-0.0188,0,0
4,HR,0.7758,-0.1419,stone,42,-1,2,0.8041,-0.1702,0.3675,trap,0.2175,1,1
4,FR,1.2009,-0.1415,stone,18,2,1,1.2681,-0.0272,0.1747,path,0.0175,0,0
4,HL,0.8861,0.1424,stone,46,-1,2,0.8676,0.1500,0.5500,trap,0.4000,1,1
4,FL,1.3694,0.1412,stone,50,-1,2,1.3378,0.1707,0.5344,trap,0.0032,0,0
5,HR,1.0158,-0.1419,stone,0,0,0,0.9619,-0.0199,0.1573,path,-0.2103,1,1
5,FR,1.4409,-0.1415,stone,35,-1,2,1.5241,-0.1136,0.3638,trap,0.1891,1,1
5,HL,1.1261,0.1424,stone,43,-1,2,1.1479,0.1335,0.5312,trap,-0.0188,0,0
5,FL,1.6094,0.1412,stone,34,-1,2,1.6017,0.1227,0.5407,trap,0.0063,0,0
6,HR,1.2558,-0.1419,stone,18,2,1,1.2681,-0.0272,0.1747,path,0.0175,0,0
6,FR,1.6809,-0.1415,stone,20,4,1,1.6794,-0.0402,0.1633,path,-0.2005,1,1
6,HL,1.3661,0.1424,stone,50,-1,2,1.3378,0.1707,0.5344,trap,0.0032,0,0
6,FL,1.8494,0.1412,stone,53,-1,2,1.9569,0.0965,0.4174,trap,-0.1233,1,0
7,HR,1.4958,-0.1419,stone,35,-1,2,1.5241,-0.1136,0.3638,trap,0.1891,1,1
7,FR,1.9209,-0.1415,stone,37,-1,2,1.9579,-0.1262,0.4009,trap,0.2376,1,1
7,HL,1.6061,0.1424,stone,34,-1,2,1.6017,0.1227,0.5407,trap,0.0063,0,0
7,FL,2.0894,0.1412,stone,45,-1,2,2.1045,0.1500,0.4087,trap,-0.0087,0,0
8,HR,1.7358,-0.1419,stone,20,4,1,1.6794,-0.0402,0.1633,path,-0.2005,1,1
8,FR,2.1609,-0.1415,stone,52,-1,2,2.1762,-0.1785,0.4243,trap,0.0234,0,0
8,HL,1.8461,0.1424,stone,53,-1,2,1.9569,0.0965,0.4174,trap,-0.1233,1,0
8,FL,2.3294,0.1412,stone,23,7,1,2.3237,0.2644,0.1927,path,-0.2160,1,1
9,HR,1.9758,-0.1419,stone,37,-1,2,1.9579,-0.1262,0.4009,trap,0.2376,1,1
9,FR,2.4009,-0.1415,stone,49,-1,2,2.3585,-0.1840,0.4178,trap,-0.0065,0,0
9,HL,2.0861,0.1424,stone,45,-1,2,2.1045,0.1500,0.4087,trap,-0.0087,0,0
9,FL,2.5694,0.1412,stone,39,-1,2,2.5461,0.1424,0.5500,trap,0.3573,1,1
10,HR,2.2158,-0.1419,stone,52,-1,2,2.1762,-0.1785,0.4243,trap,0.0234,0,0
