order,leg,stone_idx,cx,cy,top_z
0,FR,0,1.07950759,0.021102924,0.1125733506
1,FL,9,1.011508436,0.4540328181,0.1202969375
2,HR,0,1.07950759,0.021102924,0.1125733506
3,FR,1,1.513170836,-0.2532799595,0.1432311977
4,HL,9,1.011508436,0.4540328181,0.1202969375
5,FL,10,1.508148011,0.3749729602,0.1426966793
6,HR,1,1.513170836,-0.2532799595,0.1432311977
7,FR,2,1.929337693,0.03269897527,0.1876454245
8,HL,10,1.508148011,0.3749729602,0.1426966793
9,FL,11,1.97354918,0.461080918,0.1923936014
10,HR,2,1.929337693,0.03269897527,0.1876454245
11,FR,3,2.227774834,-0.391755283,0.2080999248
12,HL,11,1.97354918,0.461080918,0.1923936014
13,FL,12,2.433374285,0.4550988026,0.1995244763
14,HR,3,2.227774834,-0.391755283,0.2080999248
15,FR,4,2.531671833,0.02054213148,0.1976425035
16,HL,12,2.433374285,0.4550988026,0.1995244763
17,FL,13,2.887040297,0.4448144707,0.2096917262
18,HR,4,2.531671833,0.02054213148,0.1976425035
19,FR,5,2.811760855,-0.3877145304,0.2055746738
20,HL,13,2.887040297,0.4448144707,0.2096917262
21,FL,14,3.372933606,0.4490272666,0.2321548434
22,HR,5,2.811760855,-0.3877145304,0.2055746738
23,FR,6,3.096213773,0.02448196518,0.2268259294
24,HL,14,3.372933606,0.4490272666,0.2321548434
25,FL,15,3.889242997,0.42112876,0.2208087612
26,HR,6,3.096213773,0.02448196518,0.2268259294
27,FR,7,3.517129261,-0.2601402877,0.2295094511
28,HL,15,3.889242997,0.42112876,0.2208087612
29,HR,7,3.517129261,-0.2601402877,0.2295094511
30,FR,8,3.965427869,-0.006090965243,0.2250661363
