# D1 OCS2 DTC reference | source=ocs2_rollout primary=fk stair_rise=0.05 lane_y=-3.6 comH=0.5
# frames: world=MuJoCo(x fwd,z up); rel=yaw-only base (Rz(-yaw)*(foot-base), z=foot_z-base_z)
# primary foothold = OCS2 FK foot (dynamically feasible) if primary=fk; region_*=terrain-snap sanity; st=stance valid=region_valid
base_x,base_y,base_z,base_pitch,base_yaw,FL_wx,FL_wy,FL_wz,FL_rx,FL_ry,FL_rz,FL_fkx,FL_fky,FL_fkz,FL_regx,FL_regy,FL_regz,FL_st,FL_valid,FR_wx,FR_wy,FR_wz,FR_rx,FR_ry,FR_rz,FR_fkx,FR_fky,FR_fkz,FR_regx,FR_regy,FR_regz,FR_st,FR_valid,HL_wx,HL_wy,HL_wz,HL_rx,HL_ry,HL_rz,HL_fkx,HL_fky,HL_fkz,HL_regx,HL_regy,HL_regz,HL_st,HL_valid,HR_wx,HR_wy,HR_wz,HR_rx,HR_ry,HR_rz,HR_fkx,HR_fky,HR_fkz,HR_regx,HR_regy,HR_regz,HR_st,HR_valid
0.0157,-3.5676,0.5129,-0.0283,-0.0726,0.3771,-3.4657,-0.0014,0.3531,0.1278,-0.5143,0.3771,-3.4657,-0.0014,0.4161,-3.4578,0.0000,1,1,0.4238,-3.7045,0.0805,0.4170,-0.1069,-0.4324,0.4238,-3.7045,0.0805,0.4811,-3.7321,0.0000,0,1,-0.1460,-3.3485,0.0757,-0.1772,0.2068,-0.4372,-0.1460,-3.3485,0.0757,-0.0561,-3.4172,0.0000,0,1,-0.2145,-3.7375,0.0374,-0.2173,-0.1862,-0.4755,-0.2145,-3.7375,0.0374,-0.1611,-3.6915,0.0000,1,1
0.0168,-3.5637,0.5140,-0.0264,-0.0694,0.3770,-3.4653,-0.0013,0.3525,0.1231,-0.5153,0.3770,-3.4653,-0.0013,0.4149,-3.4527,0.0000,1,1,0.4234,-3.6993,0.0732,0.4150,-0.1071,-0.4408,0.4234,-3.6993,0.0732,0.4828,-3.7271,0.0000,0,1,-0.1472,-3.3439,0.0688,-0.1788,0.2079,-0.4452,-0.1472,-3.3439,0.0688,-0.0554,-3.4139,0.0000,0,1,-0.2146,-3.7371,0.0374,-0.2188,-0.1890,-0.4766,-0.2146,-3.7371,0.0374,-0.1615,-3.6882,0.0000,1,1
0.0180,-3.5593,0.5147,-0.0239,-0.0649,0.3771,-3.4650,-0.0013,0.3522,0.1174,-0.5160,0.3771,-3.4650,-0.0013,0.4135,-3.4467,0.0000,1,1,0.4194,-3.6916,0.0633,0.4091,-0.1060,-0.4514,0.4194,-3.6916,0.0633,0.4846,-3.7211,0.0000,0,1,-0.1506,-3.3384,0.0607,-0.1826,0.2095,-0.4540,-0.1506,-3.3384,0.0607,-0.0549,-3.4103,0.0000,0,1,-0.2146,-3.7368,0.0373,-0.2206,-0.1922,-0.4774,-0.2146,-3.7368,0.0373,-0.1618,-3.6847,0.0000,1,1
0.0190,-3.5545,0.5152,-0.0212,-0.0593,0.3772,-3.4648,-0.0012,0.3523,0.1108,-0.5164,0.3772,-3.4648,-0.0012,0.4119,-3.4398,0.0000,1,1,0.4181,-3.6818,0.0523,0.4059,-0.1034,-0.4629,0.4181,-3.6818,0.0523,0.4866,-3.7143,0.0000,0,1,-0.1559,-3.3316,0.0519,-0.1878,0.2121,-0.4633,-0.1559,-3.3316,0.0519,-0.0547,-3.4065,0.0000,0,1,-0.2145,-3.7366,0.0371,-0.2223,-0.1956,-0.4781,-0.2145,-3.7366,0.0371,-0.1621,-3.6810,0.0000,1,1
0.0201,-3.5493,0.5153,-0.0188,-0.0529,0.3775,-3.4648,-0.0010,0.3524,0.1033,-0.5163,0.3775,-3.4648,-0.0010,0.4103,-3.4321,0.0000,1,1,0.4146,-3.6701,0.0406,0.4003,-0.0998,-0.4747,0.4146,-3.6701,0.0406,0.4886,-3.7067,0.0000,0,1,-0.1610,-3.3236,0.0441,-0.1928,0.2158,-0.4712,-0.1610,-3.3236,0.0441,-0.0546,-3.4024,0.0000,0,1,-0.2143,-3.7366,0.0370,-0.2242,-0.1994,-0.4783,-0.2143,-3.7366,0.0370,-0.1622,-3.6770,0.0000,1,1
0.0212,-3.5437,0.5151,-0.0175,-0.0458,0.3778,-3.4651,-0.0009,0.3526,0.0948,-0.5160,0.3778,-3.4651,-0.0009,0.4086,-3.4237,0.0000,1,1,0.4102,-3.6573,0.0293,0.3938,-0.0957,-0.4858,0.4102,-3.6573,0.0293,0.4909,-3.6984,0.0000,0,1,-0.1654,-3.3149,0.0357,-0.1969,0.2200,-0.4794,-0.1654,-3.3149,0.0357,-0.0545,-3.3980,0.0000,0,1,-0.2140,-3.7368,0.0370,-0.2261,-0.2037,-0.4781,-0.2140,-3.7368,0.0370,-0.1621,-3.6727,0.0000,1,1
0.0225,-3.5376,0.5146,-0.0180,-0.0381,0.3782,-3.4658,-0.0007,0.3527,0.0853,-0.5153,0.3782,-3.4658,-0.0007,0.4069,-3.4148,0.0000,1,1,0.4070,-3.6448,0.0191,0.3883,-0.0925,-0.4955,0.4070,-3.6448,0.0191,0.4934,-3.6896,0.0000,0,1,-0.1696,-3.3062,0.0268,-0.2008,0.2239,-0.4878,-0.1696,-3.3062,0.0268,-0.0543,-3.3933,0.0000,0,1,-0.2135,-3.7373,0.0369,-0.2282,-0.2085,-0.4777,-0.2135,-3.7373,0.0369,-0.1618,-3.6681,0.0000,1,1
0.0241,-3.5313,0.5137,-0.0213,-0.0301,0.3788,-3.4673,-0.0006,0.3526,0.0746,-0.5143,0.3788,-3.4673,-0.0006,0.4055,-3.4054,0.0000,1,1,0.4045,-3.6346,0.0114,0.3833,-0.0918,-0.5023,0.4045,-3.6346,0.0114,0.4961,-3.6803,0.0000,0,1,-0.1728,-3.2990,0.0183,-0.2038,0.2263,-0.4954,-0.1728,-3.2990,0.0183,-0.0539,-3.3885,0.0000,0,1,-0.2128,-3.7387,0.0370,-0.2306,-0.2144,-0.4767,-0.2128,-3.7387,0.0370,-0.1612,-3.6634,0.0000,1,1
0.0262,-3.5246,0.5127,-0.0280,-0.0214,0.3866,-3.4674,0.0020,0.3591,0.0649,-0.5107,0.3866,-3.4674,0.0020,0.5054,-3.3961,0.0000,0,1,0.4040,-3.6322,0.0091,0.3800,-0.0995,-0.5036,0.4040,-3.6322,0.0091,0.4332,-3.6711,0.0000,1,1,-0.1736,-3.2974,0.0143,-0.2046,0.2229,-0.4984,-0.1736,-3.2974,0.0143,-0.1191,-3.3837,0.0000,1,1,-0.2047,-3.7441,0.0398,-0.2262,-0.2244,-0.4729,-0.2047,-3.7441,0.0398,-0.0592,-3.6586,0.0000,0,1
0.0284,-3.5196,0.5122,-0.0327,-0.0148,0.3973,-3.4636,0.0084,0.3680,0.0615,-0.5038,0.3973,-3.4636,0.0084,0.5067,-3.3878,0.0000,0,1,0.4043,-3.6343,0.0098,0.3776,-0.1091,-0.5024,0.4043,-3.6343,0.0098,0.4346,-3.6627,0.0000,1,1,-0.1733,-3.2994,0.0133,-0.2049,0.2172,-0.4989,-0.1733,-3.2994,0.0133,-0.1198,-3.3794,0.0000,1,1,-0.1927,-3.7489,0.0443,-0.2177,-0.2325,-0.4679,-0.1927,-3.7489,0.0443,-0.0559,-3.6544,0.0000,0,1
0.0311,-3.5148,0.5123,-0.0360,-0.0086,0.4083,-3.4561,0.0183,0.3767,0.0619,-0.4940,0.4083,-3.4561,0.0183,0.5086,-3.3805,0.0000,0,1,0.4044,-3.6353,0.0100,0.3743,-0.1173,-0.5023,0.4044,-3.6353,0.0100,0.4363,-3.6555,0.0000,1,1,-0.1731,-3.3002,0.0129,-0.2060,0.2128,-0.4994,-0.1731,-3.3002,0.0129,-0.1199,-3.3757,0.0000,1,1,-0.1807,-3.7499,0.0501,-0.2098,-0.2369,-0.4622,-0.1807,-3.7499,0.0501,-0.0523,-3.6507,0.0000,0,1
0.0343,-3.5108,0.5127,-0.0382,-0.0033,0.4182,-3.4475,0.0306,0.3837,0.0646,-0.4821,0.4182,-3.4475,0.0306,0.5111,-3.3745,0.0000,0,1,0.4045,-3.6363,0.0103,0.3706,-0.1243,-0.5024,0.4045,-3.6363,0.0103,0.4382,-3.6494,0.0000,1,1,-0.1729,-3.3011,0.0124,-0.2079,0.2090,-0.5003,-0.1729,-3.3011,0.0124,-0.1195,-3.3726,0.0000,1,1,-0.1693,-3.7491,0.0592,-0.2028,-0.2390,-0.4535,-0.1693,-3.7491,0.0592,-0.0484,-3.6476,0.0000,0,1
0.0378,-3.5075,0.5133,-0.0393,0.0010,0.4268,-3.4387,0.0438,0.3891,0.0684,-0.4695,0.4268,-3.4387,0.0438,0.5140,-3.3695,0.0000,0,1,0.4046,-3.6372,0.0105,0.3667,-0.1301,-0.5028,0.4046,-3.6372,0.0105,0.4403,-3.6445,0.0000,1,1,-0.1728,-3.3019,0.0120,-0.2104,0.2058,-0.5013,-0.1728,-3.3019,0.0120,-0.1186,-3.3701,0.0000,1,1,-0.1585,-3.7473,0.0692,-0.1965,-0.2396,-0.4441,-0.1585,-3.7473,0.0692,-0.0443,-3.6451,0.0000,0,1
