t,q0,q1,q2,q3,q4,q5,q6,q7,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7
27.911,-1.35,3.39,-22.11,-65.04,1.35,3.5,-22.0,-66.26,4.781,0.349,-5.631,5.32,-4.535,0.359,-4.723,6.82,-1.04,0.14,-2.05,1.08,-1.71,-1.89,1.01,1.23
27.962,-1.35,3.39,-22.11,-65.04,1.36,3.5,-22.0,-66.26,4.852,0.317,-5.91,5.264,-4.645,0.382,-4.738,6.905,-0.17,0.18,0.48,1.41,-0.11,0.61,0.84,-1.54
28.012,-1.35,3.39,-22.11,-65.04,1.36,3.51,-22.0,-66.26,4.789,0.472,-5.599,5.264,-4.641,0.482,-4.864,6.872,0.48,2.45,0.74,-2.83,-1.58,3.22,-0.18,-1.46
28.063,-1.36,3.39,-22.11,-65.04,1.36,3.5,-21.98,-66.28,4.691,0.426,-6.087,5.198,-4.703,0.355,-4.729,7.008,-2.96,-0.54,0.73,-1.48,1.66,1.17,1.62,-0.93
28.113,-1.35,3.39,-22.11,-65.04,1.36,3.51,-22.0,-66.26,4.648,0.553,-5.97,5.316,-4.957,0.249,-4.689,6.802,0.54,1.72,0.86,3.97,0.68,2.67,0.35,-0.18
28.164,-1.35,3.39,-22.11,-65.04,1.37,3.5,-21.98,-66.28,4.734,0.611,-6.004,5.264,-4.789,0.378,-4.859,6.895,-1.2,1.26,-1.13,4.61,4.33,-1.78,1.76,-4.64
28.214,-1.35,3.39,-22.11,-65.04,1.36,3.5,-22.0,-66.26,4.559,0.578,-5.784,5.255,-5.0,0.391,-4.774,6.956,-1.22,1.02,1.03,-0.76,0.56,1.25,0.13,-0.77
28.265,-1.35,3.38,-22.11,-65.04,1.36,3.5,-21.98,-66.28,4.668,0.449,-5.963,5.241,-4.574,0.5,-5.189,6.811,0.77,-3.48,0.92,-1.47,1.45,1.53,3.57,-6.73
28.315,-1.35,3.38,-22.1,-65.05,1.35,3.5,-22.0,-66.26,4.727,0.678,-6.029,5.227,-4.719,0.262,-5.093,6.848,1.98,-4.89,1.97,-0.78,-1.93,-1.17,0.4,-0.9
28.366,-1.35,3.39,-22.1,-65.05,1.36,3.5,-22.0,-66.26,4.805,0.466,-5.809,5.4,-4.484,0.315,-4.918,6.9,-0.2,2.21,1.45,-0.77,-1.05,-0.56,-2.1,1.44
28.416,-1.35,3.39,-22.11,-65.04,1.36,3.5,-22.0,-66.26,4.805,0.439,-5.965,5.227,-4.996,0.445,-5.149,6.862,0.77,2.61,-2.89,3.02,0.23,1.07,0.04,-2.71
28.467,-1.35,3.38,-22.11,-65.04,1.36,3.5,-21.98,-66.28,4.758,0.388,-5.91,5.334,-5.023,0.317,-4.746,6.914,-0.36,-1.57,0.8,-2.09,-0.02,0.87,2.65,-3.35
28.517,-1.34,3.39,-22.11,-65.04,1.36,3.5,-22.0,-66.26,4.438,0.433,-5.668,5.353,-4.855,0.401,-4.918,6.923,3.26,2.38,-2.04,2.58,-0.16,-0.58,1.19,-2.86
28.568,-1.36,3.4,-22.11,-65.04,1.36,3.5,-22.0,-66.26,4.809,0.392,-5.832,5.306,-4.738,0.27,-4.788,6.989,-4.37,3.96,0.94,-0.66,2.59,0.33,1.47,-1.99
28.618,-1.36,3.4,-22.11,-65.04,1.36,3.5,-22.0,-66.26,4.809,0.392,-5.832,5.306,-4.738,0.27,-4.788,6.989,-4.37,3.96,0.94,-0.66,2.59,0.33,1.47,-1.99
28.669,-1.35,3.39,-22.11,-65.04,1.36,3.5,-22.0,-66.26,4.402,0.46,-5.82,5.278,-4.73,0.346,-4.964,6.895,-1.29,0.1,-1.18,3.36,-0.62,1.12,-1.29,-0.5
28.719,-1.35,3.38,-22.11,-65.04,1.35,3.5,-21.98,-66.28,4.77,0.46,-5.749,5.208,-4.914,0.298,-4.853,6.942,-0.74,-3.42,-0.21,0.22,-2.46,1.0,1.83,-3.53
28.77,-1.34,3.39,-22.1,-65.05,1.36,3.5,-22.0,-66.26,4.754,0.554,-5.787,5.264,-5.039,0.204,-5.098,6.914,5.34,0.41,2.18,-1.72,1.99,-2.17,0.71,-2.68
28.821,-1.35,3.38,-22.11,-65.04,1.36,3.5,-22.0,-66.26,4.656,0.461,-5.865,5.297,-4.582,0.214,-5.089,6.787,0.83,-2.15,0.49,0.99,1.81,0.5,0.45,-0.94
28.871,-1.36,3.38,-22.1,-65.05,1.36,3.5,-22.0,-66.26,4.703,0.576,-5.609,5.255,-4.641,0.109,-4.832,6.881,-2.01,-3.29,3.7,-0.66,-0.19,-1.2,-0.12,0.73
28.922,-1.35,3.39,-22.11,-65.04,1.35,3.51,-22.0,-66.26,4.703,0.414,-5.606,5.362,-5.012,0.278,-5.156,6.891,-0.87,1.76,-0.67,0.7,-3.16,1.72,-1.32,2.74
28.972,-1.35,3.39,-22.11,-65.04,1.35,3.5,-22.0,-66.26,4.656,0.53,-6.158,5.109,-4.648,0.338,-4.814,6.881,-0.63,-0.48,0.85,-1.18,-2.12,-1.93,-0.88,-1.94
29.023,-1.35,3.39,-22.11,-65.04,1.35,3.51,-21.98,-66.28,4.656,0.427,-5.691,5.231,-4.82,0.323,-4.861,6.928,-0.95,1.98,1.13,-3.51,-1.59,2.64,1.77,-1.59
29.074,-1.35,3.39,-22.1,-65.05,1.36,3.51,-22.0,-66.26,4.633,0.537,-5.978,5.231,-5.004,0.385,-5.123,6.853,0.5,1.27,1.64,-2.0,0.86,2.97,-0.93,0.07
29.125,-1.35,3.39,-22.11,-65.04,1.35,3.51,-22.0,-66.26,4.758,0.546,-5.827,5.353,-4.648,0.235,-4.596,6.947,-0.45,1.23,-0.08,-3.79,-1.43,2.0,-1.84,4.0
29.175,-1.34,3.39,-22.11,-65.04,1.36,3.5,-22.0,-66.26,4.535,0.564,-5.988,5.227,-4.797,0.33,-4.864,6.872,3.21,-0.84,-1.04,-2.57,0.9,-2.05,-1.22,1.07
29.226,-1.35,3.39,-22.11,-65.04,1.36,3.5,-22.0,-66.26,4.77,0.429,-6.007,5.302,-4.48,0.409,-4.796,6.928,0.82,2.13,-1.18,0.98,-0.26,-1.8,0.56,-3.89
29.276,-1.35,3.39,-22.11,-65.04,1.35,3.51,-22.0,-66.26,4.645,0.565,-5.759,5.409,-4.785,0.33,-5.062,6.82,1.1,-0.51,-2.17,-0.15,-3.81,2.38,-0.84,0.95
29.327,-1.35,3.39,-22.11,-65.04,1.35,3.5,-21.98,-66.28,4.652,0.646,-5.899,5.245,-4.938,0.301,-5.059,6.783,-1.55,1.41,-2.88,5.59,-4.14,1.11,2.24,-3.38
29.377,-1.35,3.39,-22.11,-65.04,1.37,3.5,-22.0,-66.26,4.59,0.582,-5.855,5.208,-4.562,0.357,-4.869,6.867,2.01,-0.78,-2.13,1.25,4.15,0.88,-0.25,1.83
29.428,-1.35,3.39,-22.11,-65.04,1.36,3.5,-22.0,-66.26,4.852,0.457,-5.963,5.381,-4.734,0.392,-4.826,6.952,2.37,-1.23,-0.9,1.66,-1.35,-0.09,1.17,0.97
29.478,-1.36,3.39,-22.11,-65.04,1.36,3.5,-22.0,-66.26,4.609,0.388,-5.999,5.222,-4.906,0.418,-4.877,6.9,-3.12,-0.13,-0.68,-0.02,-0.83,-0.86,1.09,-1.16
29.529,-1.35,3.4,-22.11,-65.04,1.36,3.5,-22.0,-66.26,4.637,0.453,-5.823,5.292,-4.664,0.233,-4.847,6.989,-1.08,3.91,0.8,0.09,1.55,-0.58,1.19,-0.5
29.579,-1.35,3.39,-22.11,-65.04,1.36,3.51,-22.0,-66.26,4.703,0.508,-6.019,5.255,-4.809,0.293,-4.938,6.933,0.9,1.55,-0.17,-0.48,-0.03,1.89,-1.21,2.58
29.63,-1.35,3.39,-22.11,-65.04,1.36,3.51,-22.0,-66.26,4.703,0.508,-6.019,5.255,-4.809,0.293,-4.938,6.933,0.9,1.55,-0.17,-0.48,-0.03,1.89,-1.21,2.58
29.68,-1.35,3.39,-22.11,-65.04,1.36,3.5,-22.0,-66.26,4.586,0.527,-5.965,5.18,-4.57,0.337,-4.666,6.97,1.87,-0.66,0.29,1.41,1.52,0.44,-0.87,0.58
29.731,-1.36,3.38,-22.1,-65.05,1.36,3.5,-22.0,-66.26,4.742,0.574,-5.737,5.325,-4.535,0.259,-4.712,6.848,-2.06,-3.45,1.98,-3.28,2.88,1.27,-0.18,-0.94
29.781,-1.34,3.38,-22.11,-65.04,1.35,3.5,-22.0,-66.26,4.691,0.538,-5.85,5.306,-4.453,0.298,-5.009,6.792,3.07,-2.14,-1.36,-0.62,-3.3,-0.71,-0.2,-1.39
29.832,-1.35,3.39,-22.11,-65.04,1.35,3.51,-22.0,-66.26,4.602,0.588,-5.695,5.32,-4.59,0.266,-5.009,6.792,-0.89,1.29,-2.98,6.09,-2.46,1.86,-0.14,0.24
29.882,-1.34,3.38,-22.11,-65.04,1.35,3.5,-22.0,-66.26,4.73,0.462,-5.848,5.203,-4.91,0.224,-5.283,6.834,3.19,-6.47,-2.36,3.74,-3.5,-2.47,-1.28,2.7
29.933,-1.35,3.38,-22.11,-65.04,1.36,3.5,-22.0,-66.26,4.926,0.5,-5.835,5.339,-4.883,0.263,-5.122,6.848,0.56,-2.22,1.12,-1.46,1.58,0.55,-1.47,1.66
29.983,-1.35,3.4,-22.11,-65.04,1.36,3.5,-22.0,-66.26,4.715,0.439,-5.786,5.259,-4.695,0.371,-5.217,6.83,-0.91,5.25,-1.11,2.76,-0.95,0.96,-1.03,1.19
