t,q0,dq0,tau0,cmd0,kp0,kd0,q1,dq1,tau1,cmd1,kp1,kd1,q2,dq2,tau2,cmd2,kp2,kd2,q3,dq3,tau3,cmd3,kp3,kd3,q4,dq4,tau4,cmd4,kp4,kd4,q5,dq5,tau5,cmd5,kp5,kd5,q6,dq6,tau6,cmd6,kp6,kd6,q7,dq7,tau7,cmd7,kp7,kd7,q8,dq8,tau8,cmd8,kp8,kd8,q9,dq9,tau9,cmd9,kp9,kd9
0.4340,11.281,-4.6,-0.624,10.669,100.00,6.00,36.719,-10.0,-0.671,35.119,50.00,4.00,71.000,-13.4,-1.251,69.410,80.00,3.50,81.688,0.4,0.509,82.828,30.00,2.00,-15.594,8.6,0.510,-14.829,100.00,6.00,-36.188,8.4,0.689,-34.661,50.00,4.00,-77.875,12.1,1.117,-76.499,80.00,3.50,-85.062,-1.2,-0.477,-86.207,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4360,11.266,-5.5,-0.374,10.658,100.00,6.00,36.688,-7.9,-0.609,35.088,50.00,4.00,71.000,-12.0,-1.126,69.374,80.00,3.50,81.688,4.4,0.567,82.842,30.00,2.00,-15.586,8.3,0.529,-14.813,100.00,6.00,-36.156,11.0,0.560,-34.633,50.00,4.00,-77.812,12.4,1.150,-76.471,80.00,3.50,-85.062,0.9,-0.559,-86.221,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4380,11.258,-4.9,-0.536,10.646,100.00,6.00,36.688,-6.0,-0.700,35.057,50.00,4.00,70.938,-14.9,-1.162,69.337,80.00,3.50,81.688,-1.3,0.517,82.857,30.00,2.00,-15.562,12.2,0.385,-14.797,100.00,6.00,-36.156,9.7,0.648,-34.605,50.00,4.00,-77.812,10.9,1.049,-76.443,80.00,3.50,-85.062,3.2,-0.551,-86.234,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4400,11.258,-1.5,-0.373,10.635,100.00,6.00,36.656,-8.3,-0.656,35.026,50.00,4.00,70.938,-15.7,-1.153,69.300,80.00,3.50,81.688,1.6,0.536,82.872,30.00,2.00,-15.555,7.7,0.383,-14.781,100.00,6.00,-36.125,7.5,0.500,-34.576,50.00,4.00,-77.812,15.4,1.192,-76.414,80.00,3.50,-85.062,0.4,-0.572,-86.248,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4420,11.242,-4.0,-0.381,10.623,100.00,6.00,36.656,-9.3,-0.723,34.994,50.00,4.00,70.875,-16.2,-1.145,69.263,80.00,3.50,81.688,2.5,0.483,82.886,30.00,2.00,-15.539,7.2,0.263,-14.765,100.00,6.00,-36.094,8.1,0.545,-34.547,50.00,4.00,-77.812,9.2,1.056,-76.386,80.00,3.50,-85.062,-2.1,-0.568,-86.262,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4440,11.219,-9.5,-0.314,10.612,100.00,6.00,36.625,-5.9,-0.781,34.963,50.00,4.00,70.875,-15.9,-1.160,69.226,80.00,3.50,81.688,5.5,0.579,82.901,30.00,2.00,-15.516,7.8,0.201,-14.749,100.00,6.00,-36.094,6.9,0.672,-34.519,50.00,4.00,-77.750,13.7,1.075,-76.357,80.00,3.50,-85.062,-1.4,-0.569,-86.277,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4460,11.219,-3.5,-0.312,10.600,100.00,6.00,36.625,-7.4,-0.771,34.931,50.00,4.00,70.812,-19.0,-1.241,69.188,80.00,3.50,81.688,-0.2,0.613,82.916,30.00,2.00,-15.508,6.7,0.423,-14.733,100.00,6.00,-36.062,6.4,0.554,-34.490,50.00,4.00,-77.750,8.5,1.206,-76.329,80.00,3.50,-85.062,1.8,-0.510,-86.291,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4480,11.203,-6.8,-0.433,10.589,100.00,6.00,36.594,-11.3,-0.808,34.899,50.00,4.00,70.812,-13.1,-1.129,69.150,80.00,3.50,81.688,2.7,0.545,82.931,30.00,2.00,-15.484,9.1,0.379,-14.716,100.00,6.00,-36.062,8.3,0.700,-34.460,50.00,4.00,-77.688,10.4,1.167,-76.300,80.00,3.50,-85.062,1.1,-0.521,-86.305,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4500,11.195,-3.7,-0.206,10.577,100.00,6.00,36.562,-8.4,-0.724,34.866,50.00,4.00,70.750,-13.6,-1.211,69.112,80.00,3.50,81.688,1.1,0.582,82.946,30.00,2.00,-15.469,7.2,0.446,-14.700,100.00,6.00,-36.031,6.9,0.714,-34.431,50.00,4.00,-77.688,9.5,1.221,-76.271,80.00,3.50,-85.062,-0.1,-0.583,-86.320,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4520,11.180,-5.8,-0.451,10.565,100.00,6.00,36.562,-9.0,-0.742,34.834,50.00,4.00,70.750,-16.5,-1.129,69.073,80.00,3.50,81.750,5.2,0.610,82.962,30.00,2.00,-15.445,10.2,0.416,-14.683,100.00,6.00,-36.000,8.4,0.696,-34.401,50.00,4.00,-77.688,10.8,1.107,-76.241,80.00,3.50,-85.062,-1.6,-0.615,-86.334,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4540,11.172,-3.4,-0.429,10.553,100.00,6.00,36.531,-9.4,-0.776,34.801,50.00,4.00,70.688,-15.7,-1.160,69.035,80.00,3.50,81.750,2.7,0.604,82.977,30.00,2.00,-15.438,8.3,0.540,-14.666,100.00,6.00,-36.000,5.0,0.711,-34.371,50.00,4.00,-77.625,10.3,1.150,-76.212,80.00,3.50,-85.062,-0.9,-0.607,-86.349,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4560,11.156,-6.0,-0.477,10.541,100.00,6.00,36.531,-9.7,-0.758,34.768,50.00,4.00,70.688,-17.3,-1.199,68.996,80.00,3.50,81.750,5.8,0.617,82.992,30.00,2.00,-15.430,6.8,0.491,-14.649,100.00,6.00,-36.000,7.7,0.808,-34.341,50.00,4.00,-77.625,13.3,1.060,-76.182,80.00,3.50,-85.062,-0.4,-0.615,-86.363,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4580,11.156,-1.0,-0.421,10.529,100.00,6.00,36.500,-11.6,-0.768,34.735,50.00,4.00,70.625,-18.2,-1.022,68.957,80.00,3.50,81.750,-1.7,0.642,83.008,30.00,2.00,-15.406,8.4,0.426,-14.633,100.00,6.00,-35.969,10.6,0.829,-34.311,50.00,4.00,-77.562,14.3,1.040,-76.152,80.00,3.50,-85.062,0.5,-0.596,-86.378,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4600,11.156,-0.4,-0.679,10.517,100.00,6.00,36.469,-13.5,-0.752,34.701,50.00,4.00,70.625,-16.3,-1.124,68.917,80.00,3.50,81.750,-1.5,0.532,83.024,30.00,2.00,-15.398,6.6,0.390,-14.615,100.00,6.00,-35.938,10.7,0.825,-34.281,50.00,4.00,-77.562,16.5,0.933,-76.122,80.00,3.50,-85.125,-1.8,-0.547,-86.393,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4620,11.148,-0.3,-0.755,10.505,100.00,6.00,36.469,-7.4,-0.745,34.668,50.00,4.00,70.562,-18.0,-0.961,68.878,80.00,3.50,81.750,3.2,0.611,83.039,30.00,2.00,-15.375,8.0,0.351,-14.598,100.00,6.00,-35.938,5.8,0.760,-34.250,50.00,4.00,-77.500,21.0,0.978,-76.092,80.00,3.50,-85.062,0.3,-0.599,-86.408,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4640,11.156,3.5,-0.958,10.493,100.00,6.00,36.438,-8.2,-0.682,34.634,50.00,4.00,70.500,-17.1,-1.033,68.838,80.00,3.50,81.750,1.5,0.666,83.055,30.00,2.00,-15.352,10.2,0.420,-14.581,100.00,6.00,-35.938,7.7,0.857,-34.219,50.00,4.00,-77.500,15.2,0.876,-76.061,80.00,3.50,-85.062,0.8,-0.625,-86.423,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4660,11.141,-0.5,-0.835,10.480,100.00,6.00,36.438,-9.0,-0.730,34.600,50.00,4.00,70.500,-18.9,-1.058,68.798,80.00,3.50,81.750,5.8,0.629,83.071,30.00,2.00,-15.344,9.3,0.463,-14.564,100.00,6.00,-35.906,9.4,0.891,-34.188,50.00,4.00,-77.438,17.9,0.884,-76.031,80.00,3.50,-85.125,-0.8,-0.573,-86.438,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4680,11.148,3.1,-1.054,10.468,100.00,6.00,36.406,-9.2,-0.757,34.566,50.00,4.00,70.438,-17.7,-1.042,68.758,80.00,3.50,81.750,-0.6,0.562,83.087,30.00,2.00,-15.328,8.3,0.488,-14.546,100.00,6.00,-35.875,11.4,0.895,-34.157,50.00,4.00,-77.438,17.0,0.879,-76.000,80.00,3.50,-85.125,0.8,-0.633,-86.453,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4700,11.148,1.4,-1.068,10.455,100.00,6.00,36.375,-9.2,-0.774,34.532,50.00,4.00,70.438,-18.3,-1.066,68.717,80.00,3.50,81.750,-0.5,0.631,83.103,30.00,2.00,-15.312,8.1,0.449,-14.529,100.00,6.00,-35.875,7.2,0.808,-34.126,50.00,4.00,-77.438,10.8,0.908,-75.969,80.00,3.50,-85.125,0.0,-0.626,-86.469,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4720,11.148,3.5,-1.021,10.443,100.00,6.00,36.375,-8.6,-0.709,34.497,50.00,4.00,70.375,-14.5,-1.125,68.676,80.00,3.50,81.750,1.0,0.662,83.119,30.00,2.00,-15.305,5.4,0.420,-14.511,100.00,6.00,-35.844,9.8,0.860,-34.094,50.00,4.00,-77.375,15.7,0.934,-75.938,80.00,3.50,-85.125,-2.1,-0.643,-86.484,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4740,11.141,-0.7,-1.000,10.430,100.00,6.00,36.344,-9.2,-0.756,34.462,50.00,4.00,70.312,-19.4,-1.026,68.635,80.00,3.50,81.750,2.2,0.610,83.136,30.00,2.00,-15.297,2.7,0.498,-14.493,100.00,6.00,-35.844,9.3,0.878,-34.063,50.00,4.00,-77.375,13.9,1.029,-75.906,80.00,3.50,-85.125,2.4,-0.688,-86.500,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4760,11.141,-1.4,-1.137,10.417,100.00,6.00,36.312,-8.8,-0.741,34.427,50.00,4.00,70.312,-20.3,-1.105,68.594,80.00,3.50,81.750,5.8,0.575,83.152,30.00,2.00,-15.273,6.8,0.764,-14.475,100.00,6.00,-35.812,11.8,0.916,-34.031,50.00,4.00,-77.312,14.6,0.875,-75.875,80.00,3.50,-85.125,-4.9,-0.660,-86.515,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4780,11.141,0.0,-0.996,10.405,100.00,6.00,36.312,-7.2,-0.808,34.392,50.00,4.00,70.250,-17.2,-1.063,68.552,80.00,3.50,81.750,1.7,0.691,83.169,30.00,2.00,-15.266,4.9,0.653,-14.457,100.00,6.00,-35.812,6.8,0.841,-33.999,50.00,4.00,-77.312,12.4,0.925,-75.843,80.00,3.50,-85.125,-5.2,-0.663,-86.531,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4800,11.141,0.2,-1.205,10.392,100.00,6.00,36.281,-10.7,-0.794,34.356,50.00,4.00,70.250,-16.2,-1.039,68.511,80.00,3.50,81.750,1.4,0.653,83.185,30.00,2.00,-15.250,7.7,0.679,-14.439,100.00,6.00,-35.781,13.7,0.786,-33.966,50.00,4.00,-77.250,15.7,0.931,-75.811,80.00,3.50,-85.125,2.4,-0.575,-86.547,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4820,11.125,-3.4,-1.176,10.379,100.00,6.00,36.250,-10.7,-0.904,34.321,50.00,4.00,70.188,-17.8,-1.058,68.469,80.00,3.50,81.750,3.8,0.643,83.202,30.00,2.00,-15.234,6.6,0.626,-14.421,100.00,6.00,-35.750,10.3,0.784,-33.934,50.00,4.00,-77.250,10.9,1.013,-75.779,80.00,3.50,-85.125,-3.7,-0.662,-86.563,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4840,11.133,0.3,-1.259,10.366,100.00,6.00,36.250,-8.3,-0.811,34.285,50.00,4.00,70.188,-18.3,-1.044,68.427,80.00,3.50,81.750,0.0,0.555,83.219,30.00,2.00,-15.219,9.0,0.654,-14.403,100.00,6.00,-35.750,9.1,0.907,-33.901,50.00,4.00,-77.188,15.8,1.007,-75.747,80.00,3.50,-85.125,2.2,-0.683,-86.579,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4860,11.133,1.1,-1.102,10.353,100.00,6.00,36.219,-12.9,-0.840,34.249,50.00,4.00,70.125,-19.3,-1.002,68.384,80.00,3.50,81.750,1.5,0.647,83.235,30.00,2.00,-15.211,5.7,0.587,-14.384,100.00,6.00,-35.719,12.4,0.809,-33.869,50.00,4.00,-77.188,12.3,1.113,-75.714,80.00,3.50,-85.125,-1.3,-0.669,-86.595,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4880,11.133,-0.3,-1.255,10.340,100.00,6.00,36.188,-11.2,-0.832,34.213,50.00,4.00,70.062,-20.0,-0.957,68.342,80.00,3.50,81.750,1.5,0.646,83.252,30.00,2.00,-15.203,4.1,0.738,-14.366,100.00,6.00,-35.719,8.5,0.921,-33.836,50.00,4.00,-77.125,15.4,1.081,-75.682,80.00,3.50,-85.125,-1.3,-0.693,-86.611,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4900,11.141,3.2,-1.180,10.326,100.00,6.00,36.156,-13.9,-0.843,34.177,50.00,4.00,70.000,-23.0,-0.918,68.299,80.00,3.50,81.812,4.7,0.600,83.269,30.00,2.00,-15.180,7.7,0.596,-14.347,100.00,6.00,-35.688,11.6,0.906,-33.803,50.00,4.00,-77.125,11.9,1.163,-75.649,80.00,3.50,-85.125,-0.4,-0.731,-86.627,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4920,11.133,0.1,-1.186,10.313,100.00,6.00,36.125,-13.3,-0.867,34.140,50.00,4.00,70.000,-20.3,-0.931,68.256,80.00,3.50,81.812,1.1,0.596,83.286,30.00,2.00,-15.164,6.3,0.411,-14.329,100.00,6.00,-35.688,6.7,0.923,-33.769,50.00,4.00,-77.062,15.0,1.037,-75.616,80.00,3.50,-85.125,-2.4,-0.660,-86.643,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4940,11.133,1.0,-1.315,10.300,100.00,6.00,36.125,-10.6,-0.771,34.103,50.00,4.00,69.938,-21.9,-0.899,68.212,80.00,3.50,81.812,2.9,0.719,83.304,30.00,2.00,-15.148,8.3,0.518,-14.310,100.00,6.00,-35.656,6.0,0.917,-33.736,50.00,4.00,-77.062,11.4,1.038,-75.583,80.00,3.50,-85.125,-1.3,-0.720,-86.660,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4960,11.141,4.1,-1.350,10.286,100.00,6.00,36.094,-10.7,-0.835,34.066,50.00,4.00,69.938,-19.8,-0.938,68.169,80.00,3.50,81.812,2.3,0.686,83.321,30.00,2.00,-15.133,8.5,0.489,-14.291,100.00,6.00,-35.625,10.9,0.908,-33.702,50.00,4.00,-77.062,12.6,1.077,-75.550,80.00,3.50,-85.125,-5.3,-0.713,-86.676,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.4980,11.125,-0.0,-1.309,10.273,100.00,6.00,36.062,-15.6,-0.801,34.029,50.00,4.00,69.875,-21.0,-0.967,68.125,80.00,3.50,81.812,3.1,0.668,83.338,30.00,2.00,-15.125,5.1,0.782,-14.272,100.00,6.00,-35.625,8.5,0.839,-33.668,50.00,4.00,-77.000,14.3,1.194,-75.516,80.00,3.50,-85.125,-1.9,-0.711,-86.693,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5000,11.125,-2.3,-1.271,10.259,100.00,6.00,36.062,-11.3,-0.812,33.992,50.00,4.00,69.812,-21.7,-0.903,68.081,80.00,3.50,81.812,3.4,0.665,83.356,30.00,2.00,-15.109,7.2,0.508,-14.253,100.00,6.00,-35.594,6.7,0.838,-33.634,50.00,4.00,-77.000,10.1,1.173,-75.483,80.00,3.50,-85.125,-3.0,-0.734,-86.709,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5020,11.125,-0.7,-1.155,10.246,100.00,6.00,36.031,-14.4,-0.834,33.954,50.00,4.00,69.812,-17.5,-1.116,68.037,80.00,3.50,81.812,6.0,0.667,83.374,30.00,2.00,-15.086,8.8,0.595,-14.234,100.00,6.00,-35.562,8.1,0.940,-33.600,50.00,4.00,-76.938,14.4,1.200,-75.449,80.00,3.50,-85.125,-0.5,-0.698,-86.726,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5040,11.125,1.8,-1.275,10.232,100.00,6.00,36.000,-11.9,-0.817,33.917,50.00,4.00,69.750,-24.5,-0.978,67.992,80.00,3.50,81.812,4.0,0.662,83.391,30.00,2.00,-15.078,8.2,0.717,-14.215,100.00,6.00,-35.562,7.4,0.920,-33.566,50.00,4.00,-76.938,12.6,1.101,-75.415,80.00,3.50,-85.188,-6.4,-0.736,-86.743,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5060,11.125,0.9,-1.351,10.218,100.00,6.00,35.969,-13.1,-0.782,33.879,50.00,4.00,69.688,-21.4,-1.037,67.947,80.00,3.50,81.812,3.4,0.713,83.409,30.00,2.00,-15.055,9.7,0.622,-14.195,100.00,6.00,-35.531,9.1,0.847,-33.531,50.00,4.00,-76.938,15.1,1.164,-75.381,80.00,3.50,-85.188,-2.7,-0.733,-86.760,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5080,11.117,-0.2,-1.401,10.204,100.00,6.00,35.938,-13.9,-0.782,33.840,50.00,4.00,69.688,-18.5,-1.047,67.902,80.00,3.50,81.812,2.2,0.741,83.427,30.00,2.00,-15.039,10.2,0.520,-14.176,100.00,6.00,-35.500,9.4,0.787,-33.496,50.00,4.00,-76.875,11.8,1.169,-75.346,80.00,3.50,-85.188,-5.5,-0.616,-86.777,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5100,11.125,1.5,-1.396,10.190,100.00,6.00,35.938,-12.0,-0.726,33.802,50.00,4.00,69.625,-17.5,-1.008,67.857,80.00,3.50,81.812,1.3,0.690,83.445,30.00,2.00,-15.023,10.5,0.563,-14.156,100.00,6.00,-35.500,11.6,0.956,-33.462,50.00,4.00,-76.875,13.6,1.123,-75.312,80.00,3.50,-85.188,-3.8,-0.758,-86.794,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5120,11.117,-1.1,-1.435,10.176,100.00,6.00,35.906,-14.4,-0.789,33.764,50.00,4.00,69.562,-21.3,-1.182,67.812,80.00,3.50,81.875,8.8,0.725,83.463,30.00,2.00,-15.016,8.3,0.582,-14.136,100.00,6.00,-35.469,10.5,0.843,-33.426,50.00,4.00,-76.812,14.5,1.192,-75.277,80.00,3.50,-85.188,-0.5,-0.762,-86.811,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5140,11.117,0.9,-1.501,10.162,100.00,6.00,35.875,-14.5,-0.772,33.725,50.00,4.00,69.562,-17.3,-0.988,67.766,80.00,3.50,81.875,-0.3,0.730,83.481,30.00,2.00,-15.000,5.9,0.592,-14.117,100.00,6.00,-35.438,10.2,0.886,-33.391,50.00,4.00,-76.812,16.0,1.183,-75.242,80.00,3.50,-85.188,-3.2,-0.772,-86.828,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5160,11.125,2.5,-1.668,10.148,100.00,6.00,35.844,-12.4,-0.694,33.686,50.00,4.00,69.500,-20.0,-1.067,67.720,80.00,3.50,81.875,8.3,0.731,83.499,30.00,2.00,-14.977,10.1,0.614,-14.097,100.00,6.00,-35.438,9.2,0.966,-33.356,50.00,4.00,-76.750,15.3,1.120,-75.207,80.00,3.50,-85.188,-3.5,-0.688,-86.846,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5180,11.109,-2.9,-1.555,10.134,100.00,6.00,35.812,-12.7,-0.699,33.647,50.00,4.00,69.438,-26.0,-1.088,67.674,80.00,3.50,81.875,1.5,0.704,83.518,30.00,2.00,-14.961,8.8,0.448,-14.077,100.00,6.00,-35.406,10.7,0.823,-33.320,50.00,4.00,-76.750,12.4,1.209,-75.172,80.00,3.50,-85.188,-0.2,-0.734,-86.863,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5200,11.109,-1.5,-1.688,10.120,100.00,6.00,35.781,-13.5,-0.840,33.607,50.00,4.00,69.438,-17.4,-1.030,67.628,80.00,3.50,81.875,4.1,0.665,83.536,30.00,2.00,-14.938,12.4,0.511,-14.057,100.00,6.00,-35.375,13.3,0.780,-33.284,50.00,4.00,-76.688,14.1,1.082,-75.136,80.00,3.50,-85.188,0.1,-0.757,-86.881,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5220,11.102,-5.0,-1.529,10.105,100.00,6.00,35.750,-15.0,-0.779,33.568,50.00,4.00,69.375,-18.1,-1.191,67.581,80.00,3.50,81.875,6.6,0.733,83.554,30.00,2.00,-14.922,11.3,0.522,-14.036,100.00,6.00,-35.344,10.5,0.745,-33.248,50.00,4.00,-76.688,16.7,1.226,-75.101,80.00,3.50,-85.188,-4.4,-0.709,-86.898,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5240,11.109,-1.6,-1.658,10.091,100.00,6.00,35.719,-16.1,-0.775,33.528,50.00,4.00,69.375,-22.8,-1.078,67.534,80.00,3.50,81.875,2.1,0.846,83.573,30.00,2.00,-14.898,12.7,0.506,-14.016,100.00,6.00,-35.312,18.3,0.859,-33.212,50.00,4.00,-76.688,14.1,1.207,-75.065,80.00,3.50,-85.188,-5.1,-0.707,-86.916,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5260,11.109,-2.7,-1.694,10.076,100.00,6.00,35.688,-14.3,-0.647,33.488,50.00,4.00,69.312,-22.1,-1.129,67.487,80.00,3.50,81.875,1.9,0.776,83.592,30.00,2.00,-14.875,13.4,0.432,-13.996,100.00,6.00,-35.281,12.1,0.843,-33.176,50.00,4.00,-76.625,13.1,1.214,-75.029,80.00,3.50,-85.188,-2.1,-0.778,-86.934,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5280,11.109,0.4,-1.784,10.062,100.00,6.00,35.656,-15.2,-0.846,33.448,50.00,4.00,69.250,-21.8,-1.162,67.440,80.00,3.50,81.875,3.0,0.771,83.611,30.00,2.00,-14.867,8.4,0.474,-13.975,100.00,6.00,-35.250,14.3,0.772,-33.139,50.00,4.00,-76.625,11.6,1.184,-74.993,80.00,3.50,-85.188,-0.5,-0.757,-86.951,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5300,11.102,-3.2,-1.690,10.047,100.00,6.00,35.625,-15.2,-0.767,33.408,50.00,4.00,69.250,-25.1,-1.190,67.393,80.00,3.50,81.875,5.8,0.824,83.629,30.00,2.00,-14.852,8.6,0.623,-13.955,100.00,6.00,-35.219,13.4,0.739,-33.103,50.00,4.00,-76.562,13.3,1.183,-74.956,80.00,3.50,-85.250,-3.9,-0.807,-86.969,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5320,11.109,-1.5,-1.780,10.032,100.00,6.00,35.594,-14.9,-0.797,33.367,50.00,4.00,69.188,-22.7,-1.015,67.345,80.00,3.50,81.875,4.3,0.795,83.648,30.00,2.00,-14.836,8.5,0.366,-13.934,100.00,6.00,-35.219,9.9,0.805,-33.066,50.00,4.00,-76.562,14.5,1.337,-74.920,80.00,3.50,-85.250,-2.0,-0.781,-86.987,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5340,11.102,-1.7,-1.760,10.018,100.00,6.00,35.562,-15.9,-0.791,33.326,50.00,4.00,69.125,-18.2,-1.058,67.296,80.00,3.50,81.875,1.4,0.771,83.668,30.00,2.00,-14.812,9.5,0.584,-13.913,100.00,6.00,-35.188,11.5,0.833,-33.028,50.00,4.00,-76.500,17.4,1.199,-74.883,80.00,3.50,-85.250,-3.8,-0.784,-87.006,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.5360,11.094,-4.0,-1.719,10.003,100.00,6.00,35.531,-16.2,-0.755,33.286,50.00,4.00,69.125,-20.7,-1.257,67.249,80.00,3.50,81.875,-3.0,0.865,83.687,30.00,2.00,-14.797,9.7,0.465,-13.892,100.00,6.00,-35.156,14.7,0.799,-32.991,50.00,4.00,-76.500,12.0,1.261,-74.846,80.00,3.50,-85.250,-2.5,-0.824,-87.024,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
