t,q0,dq0,tau0,cmd0,kp0,kd0,q1,dq1,tau1,cmd1,kp1,kd1,q2,dq2,tau2,cmd2,kp2,kd2,q3,dq3,tau3,cmd3,kp3,kd3,q4,dq4,tau4,cmd4,kp4,kd4,q5,dq5,tau5,cmd5,kp5,kd5,q6,dq6,tau6,cmd6,kp6,kd6,q7,dq7,tau7,cmd7,kp7,kd7,q8,dq8,tau8,cmd8,kp8,kd8,q9,dq9,tau9,cmd9,kp9,kd9
0.0220,11.602,-0.2,-0.138,11.601,100.00,6.00,37.688,-2.6,-0.016,37.687,50.00,4.00,72.438,-2.4,-0.018,72.437,80.00,3.50,81.688,2.0,-0.031,81.625,30.00,2.00,-16.156,-1.9,0.008,-16.140,100.00,6.00,-37.000,1.6,-0.019,-37.000,50.00,4.00,-78.812,0.6,-0.037,-78.812,80.00,3.50,-85.000,4.5,0.023,-85.063,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0240,11.609,2.2,0.000,11.601,100.00,6.00,37.688,-0.8,-0.003,37.687,50.00,4.00,72.438,-1.2,-0.035,72.437,80.00,3.50,81.688,1.3,0.013,81.625,30.00,2.00,-16.156,-0.9,-0.020,-16.140,100.00,6.00,-37.000,-3.3,-0.025,-36.999,50.00,4.00,-78.812,-0.3,-0.084,-78.812,80.00,3.50,-85.000,-1.0,-0.011,-85.063,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0260,11.602,-2.8,-0.096,11.601,100.00,6.00,37.688,0.7,-0.051,37.687,50.00,4.00,72.438,0.2,0.021,72.437,80.00,3.50,81.625,-1.5,-0.002,81.625,30.00,2.00,-16.156,-0.7,0.007,-16.140,100.00,6.00,-36.969,4.5,0.003,-36.999,50.00,4.00,-78.812,2.3,-0.020,-78.812,80.00,3.50,-85.000,0.4,-0.009,-85.063,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0280,11.609,2.7,-0.072,11.601,100.00,6.00,37.688,0.6,0.031,37.687,50.00,4.00,72.438,2.1,-0.052,72.436,80.00,3.50,81.688,4.6,-0.047,81.625,30.00,2.00,-16.141,1.8,-0.071,-16.140,100.00,6.00,-37.000,1.8,-0.014,-36.999,50.00,4.00,-78.812,-2.1,0.007,-78.812,80.00,3.50,-85.000,-1.1,-0.003,-85.063,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0300,11.602,-3.5,-0.150,11.601,100.00,6.00,37.688,0.6,0.001,37.686,50.00,4.00,72.438,-2.4,-0.013,72.436,80.00,3.50,81.625,-3.0,-0.007,81.626,30.00,2.00,-16.141,1.2,0.053,-16.140,100.00,6.00,-37.000,1.1,-0.011,-36.999,50.00,4.00,-78.812,0.5,0.000,-78.811,80.00,3.50,-85.000,0.1,-0.062,-85.063,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0320,11.594,-5.0,-0.042,11.601,100.00,6.00,37.688,-0.6,0.032,37.686,50.00,4.00,72.438,-3.2,0.063,72.436,80.00,3.50,81.688,2.0,0.003,81.626,30.00,2.00,-16.141,2.3,-0.011,-16.140,100.00,6.00,-37.000,1.0,-0.015,-36.999,50.00,4.00,-78.812,2.0,0.003,-78.811,80.00,3.50,-85.000,2.1,0.007,-85.063,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0340,11.602,-0.2,-0.105,11.601,100.00,6.00,37.688,0.5,-0.003,37.686,50.00,4.00,72.438,-2.0,-0.008,72.435,80.00,3.50,81.625,0.3,-0.020,81.626,30.00,2.00,-16.156,-3.3,0.191,-16.140,100.00,6.00,-37.000,-1.3,0.059,-36.998,50.00,4.00,-78.812,-1.6,-0.005,-78.811,80.00,3.50,-85.000,0.4,-0.008,-85.063,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0360,11.602,0.0,-0.103,11.601,100.00,6.00,37.688,1.9,-0.005,37.685,50.00,4.00,72.438,3.2,-0.058,72.435,80.00,3.50,81.625,-1.3,-0.004,81.626,30.00,2.00,-16.156,-2.8,-0.052,-16.140,100.00,6.00,-37.000,0.5,-0.017,-36.998,50.00,4.00,-78.812,-1.1,-0.014,-78.811,80.00,3.50,-85.000,0.6,0.006,-85.063,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0380,11.609,1.1,-0.100,11.601,100.00,6.00,37.688,-2.6,0.056,37.685,50.00,4.00,72.438,-2.7,0.035,72.435,80.00,3.50,81.625,-1.6,-0.050,81.626,30.00,2.00,-16.141,0.9,0.092,-16.139,100.00,6.00,-37.000,1.5,-0.053,-36.998,50.00,4.00,-78.812,1.4,-0.016,-78.810,80.00,3.50,-85.000,3.2,0.015,-85.064,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0400,11.602,-1.0,-0.090,11.601,100.00,6.00,37.688,-0.4,0.045,37.685,50.00,4.00,72.438,1.8,0.008,72.434,80.00,3.50,81.625,-1.4,-0.028,81.626,30.00,2.00,-16.141,2.3,0.068,-16.139,100.00,6.00,-37.000,-1.3,-0.026,-36.997,50.00,4.00,-78.812,3.4,0.046,-78.810,80.00,3.50,-85.000,1.7,-0.001,-85.064,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
