t,pct,split,q0,q1,q2,q3,q4,q5,q6,q7,cmd0,cmd1,cmd2,cmd3,cmd4,cmd5,cmd6,cmd7,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,ff0,ff1,ff2,ff3,ff4,ff5,ff6,ff7
362.841,100.0,50.0,3.264,7.230,30.812,89.562,-2.414,-10.406,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.668,3.604,8.375,-4.223,4.637,-3.023,-5.305,4.281,-1.170,6.402,1.085,9.601,1.335,6.419,1.206,9.590
362.943,100.0,50.0,3.268,7.238,30.812,89.562,-2.416,-10.414,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.613,3.627,8.312,-4.195,4.543,-2.990,-5.480,4.395,-1.168,6.398,1.083,9.601,1.334,6.415,1.203,9.590
363.043,100.0,50.0,3.268,7.238,30.812,89.562,-2.414,-10.406,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.785,3.502,8.383,-4.191,4.754,-2.883,-5.414,4.352,-1.168,6.398,1.083,9.601,1.335,6.419,1.206,9.590
363.145,100.0,50.0,3.268,7.246,30.812,89.562,-2.410,-10.406,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.750,3.543,8.336,-4.250,4.664,-2.795,-5.344,4.375,-1.168,6.395,1.080,9.600,1.337,6.419,1.206,9.590
363.247,100.0,50.0,3.268,7.238,30.812,89.562,-2.410,-10.414,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.660,3.510,8.398,-4.258,4.664,-2.885,-5.449,4.391,-1.168,6.398,1.083,9.601,1.337,6.415,1.203,9.590
363.349,100.0,50.0,3.268,7.238,30.812,89.562,-2.406,-10.406,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.562,3.607,8.227,-4.129,4.969,-2.840,-5.516,4.352,-1.168,6.398,1.083,9.601,1.339,6.419,1.206,9.590
363.451,100.0,50.0,3.268,7.230,30.812,89.562,-2.414,-10.414,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.488,3.594,8.289,-4.211,4.766,-2.902,-5.395,4.359,-1.168,6.402,1.085,9.601,1.335,6.415,1.203,9.590
363.553,100.0,50.0,3.275,7.234,30.812,89.562,-2.414,-10.406,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.520,3.711,8.328,-4.191,4.582,-2.875,-5.477,4.398,-1.165,6.400,1.084,9.601,1.335,6.419,1.206,9.590
363.653,100.0,50.0,3.268,7.234,30.812,89.562,-2.414,-10.414,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.855,3.525,8.344,-4.148,4.672,-2.887,-5.566,4.473,-1.168,6.400,1.084,9.601,1.335,6.415,1.203,9.590
363.755,100.0,50.0,3.264,7.234,30.812,89.562,-2.416,-10.406,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.668,3.551,8.367,-4.293,4.734,-2.842,-5.402,4.312,-1.170,6.400,1.084,9.601,1.335,6.419,1.206,9.590
363.855,100.0,50.0,3.264,7.238,30.812,89.562,-2.420,-10.414,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.508,3.547,8.344,-4.184,4.805,-2.840,-5.391,4.410,-1.170,6.398,1.083,9.601,1.333,6.415,1.203,9.589
363.957,100.0,50.0,3.273,7.234,30.812,89.562,-2.426,-10.414,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.699,3.662,8.383,-4.176,4.516,-2.828,-5.301,4.418,-1.166,6.400,1.084,9.601,1.330,6.415,1.203,9.589
364.057,100.0,50.0,3.273,7.234,30.812,89.562,-2.426,-10.406,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.656,3.596,8.391,-4.168,4.602,-2.781,-5.395,4.414,-1.166,6.400,1.084,9.601,1.330,6.419,1.206,9.590
364.157,100.0,50.0,3.270,7.246,30.797,89.562,-2.410,-10.414,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.711,3.537,8.336,-4.172,4.766,-2.852,-5.375,4.445,-1.168,6.392,1.077,9.600,1.337,6.415,1.203,9.590
364.257,100.0,50.0,3.260,7.234,30.812,89.562,-2.400,-10.414,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.625,3.529,8.328,-4.246,4.699,-2.869,-5.336,4.438,-1.172,6.400,1.084,9.601,1.342,6.415,1.203,9.590
364.359,100.0,50.0,3.268,7.238,30.812,89.562,-2.416,-10.414,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.586,3.635,8.539,-4.176,4.785,-2.783,-5.480,4.324,-1.168,6.398,1.083,9.601,1.334,6.415,1.203,9.590
364.461,100.0,50.0,3.268,7.230,30.828,89.562,-2.420,-10.414,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.707,3.584,8.375,-4.191,4.719,-2.891,-5.406,4.344,-1.168,6.405,1.088,9.601,1.333,6.415,1.203,9.589
364.561,100.0,50.0,3.275,7.238,30.812,89.562,-2.414,-10.414,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.652,3.570,8.312,-4.266,4.805,-2.805,-5.309,4.426,-1.165,6.398,1.083,9.601,1.335,6.415,1.203,9.590
364.663,100.0,50.0,3.260,7.234,30.797,89.562,-2.416,-10.406,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.609,3.697,8.391,-4.215,4.773,-2.812,-5.293,4.336,-1.172,6.398,1.081,9.601,1.335,6.419,1.206,9.590
364.765,100.0,50.0,3.270,7.238,30.828,89.562,-2.410,-10.422,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.605,3.664,8.414,-4.180,4.742,-2.742,-5.457,4.430,-1.167,6.401,1.086,9.601,1.337,6.412,1.201,9.589
364.867,100.0,50.0,3.270,7.230,30.812,89.562,-2.410,-10.422,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.664,3.533,8.414,-4.230,4.668,-2.895,-5.551,4.402,-1.168,6.402,1.085,9.601,1.337,6.412,1.201,9.589
364.967,100.0,50.0,3.270,7.230,30.812,89.562,-2.404,-10.414,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.566,3.729,8.445,-4.234,4.770,-2.955,-5.398,4.379,-1.168,6.402,1.085,9.601,1.340,6.415,1.203,9.590
365.067,100.0,50.0,3.270,7.238,30.812,89.562,-2.420,-10.414,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.480,3.646,8.422,-4.184,4.473,-2.803,-5.441,4.387,-1.167,6.398,1.083,9.601,1.333,6.415,1.203,9.589
365.169,100.0,50.0,3.270,7.227,30.812,89.562,-2.416,-10.414,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.676,3.473,8.352,-4.168,4.875,-2.762,-5.449,4.391,-1.168,6.404,1.086,9.601,1.334,6.415,1.203,9.590
365.269,100.0,50.0,3.268,7.211,30.812,89.562,-2.420,-10.414,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.508,3.527,8.281,-4.156,4.664,-2.922,-5.371,4.457,-1.169,6.411,1.091,9.601,1.333,6.415,1.203,9.589
365.371,100.0,50.0,3.268,7.199,30.812,89.562,-2.416,-10.398,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.773,3.686,8.438,-4.102,4.602,-2.848,-5.379,4.352,-1.169,6.416,1.095,9.602,1.335,6.422,1.208,9.590
365.471,100.0,50.0,3.270,7.109,30.797,89.562,-2.414,-10.312,-48.594,-92.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.660,3.986,8.242,-4.227,4.793,-3.295,-5.504,4.344,-1.169,6.454,1.119,9.604,1.336,6.462,1.235,9.593
365.573,100.0,50.0,3.264,6.270,30.828,89.562,-2.398,-9.070,-48.281,-92.562,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.516,5.543,8.195,-4.145,4.586,-5.758,-5.809,4.352,-1.179,6.840,1.382,9.627,1.355,6.977,1.560,9.626
365.675,100.0,50.0,3.223,5.500,30.953,89.562,-2.391,-7.668,-47.531,-92.125,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.391,6.113,7.805,-4.281,4.633,-6.836,-6.996,3.975,-1.205,7.209,1.640,9.647,1.371,7.478,1.842,9.653
365.777,100.0,50.0,3.203,5.508,31.125,89.562,-2.389,-7.316,-46.750,-91.812,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.660,5.938,7.586,-4.203,4.535,-6.750,-7.922,4.023,-1.213,7.235,1.670,9.647,1.377,7.499,1.798,9.655
365.879,100.0,50.0,3.213,5.672,31.219,89.562,-2.398,-7.480,-46.531,-91.812,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.602,5.500,7.289,-4.223,4.734,-6.035,-8.008,4.023,-1.206,7.176,1.637,9.643,1.372,7.389,1.707,9.651
365.979,100.0,50.0,3.227,6.129,31.000,89.750,-2.400,-8.273,-46.969,-91.938,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.621,4.520,8.070,-4.547,4.625,-4.750,-6.957,4.160,-1.199,6.937,1.461,9.635,1.363,7.106,1.547,9.634
366.079,100.0,50.0,3.238,6.434,30.562,90.000,-2.400,-9.062,-47.375,-92.312,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.543,4.613,8.891,-4.453,4.457,-4.164,-6.867,4.434,-1.197,6.733,1.295,9.633,1.358,6.824,1.389,9.621
366.179,100.0,50.0,3.236,6.414,30.375,90.188,-2.389,-9.211,-47.656,-92.812,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.508,4.633,8.883,-4.633,4.637,-4.336,-6.559,4.621,-1.202,6.716,1.272,9.637,1.365,6.815,1.409,9.628
366.281,100.0,50.0,3.242,6.332,30.312,90.500,-2.395,-9.180,-47.656,-93.125,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.617,4.875,9.125,-4.738,4.879,-4.445,-6.664,4.734,-1.204,6.749,1.293,9.645,1.366,6.837,1.426,9.636
366.381,100.0,50.0,3.211,5.699,30.359,90.562,-2.375,-8.141,-47.250,-93.125,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.500,6.172,8.797,-4.797,4.438,-6.582,-7.621,4.652,-1.225,7.042,1.494,9.661,1.387,7.239,1.669,9.661
366.483,100.0,50.0,3.154,4.812,30.484,90.500,-2.363,-6.828,-46.438,-92.812,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.531,7.250,8.312,-4.727,4.664,-7.895,-8.398,4.379,-1.259,7.459,1.783,9.679,1.406,7.686,1.910,9.683
366.585,100.0,50.0,3.145,4.637,30.703,90.500,-2.379,-6.359,-45.938,-92.500,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.281,6.930,7.934,-4.816,4.508,-7.715,-8.664,4.562,-1.264,7.574,1.877,9.683,1.402,7.805,1.953,9.687
366.685,100.0,50.0,3.172,4.941,30.734,90.500,-2.375,-6.727,-46.000,-92.562,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.355,6.172,8.094,-4.766,4.629,-6.727,-8.445,4.496,-1.247,7.443,1.791,9.677,1.401,7.653,1.855,9.681
366.787,100.0,50.0,3.203,5.809,30.672,90.750,-2.389,-7.992,-46.562,-92.750,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.363,4.848,8.312,-5.020,4.695,-4.902,-7.707,4.629,-1.227,7.049,1.522,9.662,1.382,7.183,1.579,9.657
366.887,100.0,50.0,3.211,6.375,30.531,91.188,-2.383,-8.828,-47.094,-93.188,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.414,4.797,8.688,-5.250,4.562,-4.527,-7.262,4.840,-1.225,6.781,1.336,9.658,1.379,6.904,1.432,9.646
366.989,100.0,50.0,3.207,6.270,30.344,91.250,-2.383,-8.750,-47.125,-93.500,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.355,4.953,8.977,-5.125,4.598,-5.262,-7.449,4.918,-1.230,6.798,1.335,9.661,1.382,6.952,1.469,9.654
367.091,100.0,50.0,3.172,5.531,30.344,91.188,-2.363,-7.527,-46.406,-93.375,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.355,6.668,8.852,-5.043,4.898,-7.473,-8.883,4.664,-1.253,7.127,1.555,9.676,1.405,7.378,1.704,9.679
367.191,100.0,50.0,3.100,4.469,30.562,91.000,-2.357,-5.852,-45.250,-92.438,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.152,7.754,7.973,-4.797,4.461,-9.180,-10.156,4.125,-1.294,7.634,1.911,9.694,1.421,7.914,1.977,9.695
367.291,100.0,50.0,3.076,3.889,30.984,90.562,-2.369,-4.832,-44.875,-91.562,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.109,8.227,7.297,-4.707,4.414,-9.906,-9.977,3.725,-1.303,7.956,2.157,9.698,1.418,8.289,2.199,9.700
367.391,100.0,50.0,3.100,4.047,31.266,90.562,-2.369,-5.059,-45.094,-91.375,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.227,7.547,7.168,-4.754,4.547,-8.656,-9.359,3.799,-1.288,7.933,2.162,9.695,1.413,8.222,2.169,9.694
367.491,100.0,50.0,3.133,5.305,31.188,90.750,-2.383,-6.832,-46.000,-92.000,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.289,5.312,7.441,-5.062,4.797,-5.801,-8.062,4.383,-1.263,7.361,1.770,9.674,1.391,7.595,1.811,9.669
367.591,100.0,50.0,3.141,6.504,30.609,91.312,-2.395,-8.773,-46.750,-93.188,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.258,4.172,9.000,-5.270,4.410,-3.889,-7.621,5.062,-1.259,6.739,1.314,9.658,1.376,6.872,1.386,9.647
367.693,100.0,50.0,3.145,6.570,30.062,91.750,-2.383,-9.383,-47.344,-94.312,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.184,4.445,9.508,-5.555,4.574,-3.918,-6.922,5.789,-1.266,6.628,1.205,9.665,1.384,6.720,1.337,9.655
367.793,100.0,50.0,3.141,6.574,29.953,92.125,-2.375,-9.422,-47.469,-94.812,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.223,4.332,9.570,-5.809,4.539,-4.008,-6.910,5.793,-1.273,6.616,1.192,9.671,1.392,6.734,1.360,9.664
367.893,100.0,50.0,3.135,6.629,29.984,92.500,-2.365,-9.414,-47.438,-95.188,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.430,4.301,9.523,-5.781,4.777,-3.961,-7.055,6.016,-1.279,6.604,1.189,9.677,1.400,6.739,1.365,9.671
367.995,100.0,50.0,3.129,6.695,29.984,92.562,-2.375,-9.406,-47.250,-95.500,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.164,4.305,9.641,-5.871,4.824,-4.090,-7.383,6.000,-1.282,6.575,1.171,9.676,1.400,6.718,1.339,9.676
368.097,100.0,50.0,3.123,6.547,30.031,92.562,-2.379,-9.078,-47.094,-95.438,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.469,4.383,9.445,-5.828,4.383,-4.832,-7.441,5.887,-1.286,6.649,1.223,9.679,1.401,6.838,1.407,9.682
368.197,100.0,50.0,3.133,6.371,30.172,92.562,-2.379,-8.758,-47.031,-95.438,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.121,4.711,9.180,-5.785,4.441,-4.812,-7.496,5.922,-1.281,6.750,1.301,9.683,1.404,6.970,1.491,9.688
368.299,100.0,50.0,3.135,6.441,30.094,92.812,-2.379,-8.992,-47.062,-95.562,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.270,4.586,9.578,-6.188,4.652,-4.367,-7.543,6.070,-1.283,6.710,1.270,9.685,1.403,6.873,1.430,9.685
368.399,100.0,50.0,3.150,6.457,29.906,93.062,-2.379,-9.250,-47.188,-95.938,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.355,4.625,9.609,-6.176,4.688,-4.168,-7.195,6.418,-1.280,6.677,1.236,9.688,1.404,6.785,1.383,9.687
368.501,100.0,50.0,3.148,6.484,29.875,93.375,-2.373,-9.266,-47.250,-96.250,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.395,4.516,9.625,-6.359,4.375,-4.148,-7.262,6.445,-1.284,6.665,1.228,9.693,1.410,6.794,1.396,9.691
368.601,100.0,50.0,3.141,6.551,29.891,93.625,-2.365,-9.258,-47.250,-96.375,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.383,4.398,9.625,-6.508,4.465,-4.289,-7.297,6.473,-1.290,6.642,1.216,9.695,1.415,6.800,1.400,9.693
368.703,100.0,50.0,3.141,6.559,29.891,93.688,-2.383,-9.273,-47.250,-96.500,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.387,4.461,9.602,-6.504,4.652,-4.266,-7.172,6.586,-1.291,6.639,1.215,9.696,1.408,6.794,1.398,9.695
368.803,100.0,50.0,3.141,6.551,29.891,93.750,-2.359,-9.297,-47.250,-96.688,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.285,4.297,9.633,-6.457,4.512,-4.168,-7.297,6.641,-1.291,6.644,1.218,9.697,1.420,6.787,1.394,9.697
368.905,100.0,50.0,3.150,6.559,29.891,93.812,-2.369,-9.289,-47.250,-96.688,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.180,4.418,9.781,-6.473,4.758,-4.262,-7.211,6.664,-1.287,6.641,1.217,9.697,1.416,6.791,1.397,9.697
369.005,100.0,50.0,3.141,6.551,29.891,93.812,-2.369,-9.289,-47.250,-96.750,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.320,4.441,9.633,-6.492,4.484,-4.191,-7.270,6.680,-1.292,6.645,1.219,9.698,1.416,6.792,1.398,9.698
369.107,100.0,50.0,3.139,6.551,29.891,93.812,-2.379,-9.297,-47.250,-96.750,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.211,4.277,9.609,-6.707,4.773,-4.289,-7.316,6.730,-1.293,6.645,1.219,9.698,1.412,6.788,1.395,9.698
369.207,100.0,50.0,3.148,6.547,29.891,94.062,-2.369,-9.273,-47.250,-96.812,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.578,4.426,9.539,-6.918,4.727,-4.352,-7.211,6.754,-1.291,6.650,1.224,9.701,1.417,6.799,1.403,9.699
369.309,100.0,50.0,3.145,6.562,29.891,94.562,-2.373,-9.211,-47.250,-97.125,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.172,4.367,9.570,-7.348,4.766,-4.352,-7.383,6.965,-1.298,6.650,1.228,9.707,1.419,6.832,1.427,9.704
369.411,100.0,50.0,3.145,6.578,29.891,95.312,-2.375,-9.211,-47.219,-97.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.355,4.480,9.688,-7.684,4.547,-4.262,-7.320,7.234,-1.307,6.653,1.234,9.715,1.423,6.834,1.429,9.711
369.511,100.0,50.0,3.170,6.695,29.891,96.000,-2.385,-9.227,-47.219,-98.062,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.281,4.246,9.578,-7.773,4.547,-4.312,-7.227,7.383,-1.301,6.609,1.209,9.721,1.423,6.832,1.431,9.716
369.611,100.0,50.0,3.195,6.754,29.891,96.188,-2.389,-9.219,-47.219,-98.250,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.258,4.086,9.789,-7.816,4.566,-4.289,-7.215,7.473,-1.291,6.585,1.194,9.721,1.423,6.838,1.435,9.718
369.713,100.0,50.0,3.203,6.754,29.875,96.125,-2.385,-9.242,-47.219,-98.250,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.453,4.219,9.727,-7.816,4.562,-4.309,-7.199,7.469,-1.286,6.582,1.190,9.721,1.425,6.828,1.429,9.717
369.928,100.0,50.0,3.203,6.746,29.875,96.125,-2.400,-9.242,-47.250,-98.250,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.535,4.180,9.680,-7.793,4.953,-4.277,-7.129,7.387,-1.287,6.586,1.193,9.721,1.417,6.833,1.434,9.717
370.030,100.0,50.0,3.203,6.746,29.875,96.125,-2.400,-9.242,-47.250,-98.250,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.535,4.180,9.680,-7.793,4.953,-4.277,-7.129,7.387,-1.287,6.586,1.193,9.721,1.417,6.833,1.434,9.717
370.131,100.0,50.0,3.203,6.746,29.875,96.125,-2.400,-9.242,-47.250,-98.250,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.535,4.180,9.680,-7.793,4.953,-4.277,-7.129,7.387,-1.287,6.586,1.193,9.721,1.417,6.833,1.434,9.717
370.233,100.0,50.0,3.203,6.746,29.875,96.125,-2.400,-9.242,-47.250,-98.250,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.535,4.180,9.680,-7.793,4.953,-4.277,-7.129,7.387,-1.287,6.586,1.193,9.721,1.417,6.833,1.434,9.717
370.335,100.0,50.0,3.203,6.746,29.875,96.125,-2.400,-9.242,-47.250,-98.250,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.535,4.180,9.680,-7.793,4.953,-4.277,-7.129,7.387,-1.287,6.586,1.193,9.721,1.417,6.833,1.434,9.717
