ch,name,tau_hold_nm,tau_stand_nm,dtau_nm,q_hold_deg,q_stand_deg,dq_deg
0,HL_hip,-4.8862,-4.9181,-0.0319,2.168,2.451,0.283
1,HL_thigh,-0.8090,2.8915,3.7005,4.938,3.914,-1.023
2,HL_calf,2.2601,7.0504,4.7903,31.125,27.344,-3.781
3,HL_foot,0.0433,-2.6962,-2.7395,97.312,94.250,-3.062
4,HR_hip,4.2091,4.2798,0.0706,-1.358,0.527,1.886
5,HR_thigh,-0.4161,-3.3310,-2.9148,-5.848,-9.500,-3.652
6,HR_calf,-2.3536,-6.8541,-4.5006,-46.781,-49.500,-2.719
7,HR_foot,0.0296,2.4408,2.4112,-100.125,-102.500,-2.375
