t,pct,split,q0,q1,q2,q3,q4,q5,q6,q7,cmd0,cmd1,cmd2,cmd3,cmd4,cmd5,cmd6,cmd7,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,ff0,ff1,ff2,ff3,ff4,ff5,ff6,ff7,aux0,aux1,aux2,aux3,aux4,aux5,aux6,aux7
4451.817,21.3,50.0,2.850,8.109,33.656,93.688,-2.332,-10.234,-49.438,-96.688,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.602,-1.936,0.156,-0.251,5.180,1.646,0.073,0.506,-0.557,1.708,0.337,2.410,0.559,1.746,0.356,2.413,3.053,4.699,32.719,93.688,-0.637,-7.906,-47.500,-96.625
4451.919,22.3,50.0,2.854,8.141,33.719,93.375,-2.326,-10.281,-49.500,-96.312,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.414,-1.812,0.150,-0.319,5.227,1.772,-0.002,0.292,-0.583,1.787,0.352,2.524,0.586,1.825,0.371,2.527,3.865,4.395,33.625,93.250,-1.296,-7.797,-47.781,-96.438
4452.019,23.3,50.0,2.850,8.172,33.750,93.375,-2.326,-10.336,-49.500,-96.188,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.523,-1.749,0.146,-0.398,5.375,1.621,-0.050,0.431,-0.609,1.864,0.367,2.637,0.612,1.900,0.382,2.639,4.262,4.590,33.469,93.688,-1.164,-7.820,-47.812,-95.750
4452.119,24.3,50.0,2.854,8.266,33.781,93.250,-2.332,-10.477,-49.531,-96.062,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.492,-1.890,0.163,-0.339,5.520,1.879,-0.075,0.406,-0.634,1.933,0.376,2.749,0.636,1.964,0.387,2.751,4.043,3.998,33.781,93.125,-0.439,-8.086,-47.750,-95.625
4452.221,25.3,50.0,2.861,8.352,33.781,92.938,-2.326,-10.719,-49.562,-95.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.379,-1.923,0.132,-0.163,5.156,1.978,-0.068,0.223,-0.658,2.000,0.381,2.863,0.662,2.011,0.380,2.863,3.207,4.395,32.438,92.938,-1.362,-8.961,-47.750,-95.938
4452.321,26.3,50.0,2.850,8.570,33.812,92.812,-2.328,-10.812,-49.562,-95.562,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.328,-2.170,0.180,-0.368,5.191,1.923,-0.214,0.455,-0.685,2.048,0.377,2.973,0.687,2.077,0.386,2.975,4.285,4.699,35.094,93.250,-1.428,-8.766,-47.781,-95.812
4452.423,27.3,50.0,2.865,8.711,33.844,92.750,-2.334,-10.859,-49.625,-95.562,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.441,-2.070,0.211,-0.458,5.367,1.869,-0.109,0.467,-0.709,2.108,0.379,3.087,0.713,2.154,0.400,3.090,3.779,4.504,34.062,92.812,-0.220,-9.070,-47.594,-95.312
4452.525,28.3,50.0,2.869,8.727,33.875,92.625,-2.328,-10.922,-49.688,-95.375,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.422,-1.921,0.232,-0.453,5.133,1.817,-0.215,0.357,-0.734,2.185,0.392,3.201,0.740,2.226,0.411,3.203,4.086,5.207,34.062,92.750,-0.571,-8.852,-47.812,-95.625
4452.627,29.4,50.0,2.871,8.750,33.906,92.438,-2.334,-11.016,-49.719,-94.875,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.297,-1.907,0.278,-0.444,5.102,1.896,-0.160,0.336,-0.759,2.260,0.404,3.315,0.763,2.289,0.413,3.314,3.734,5.426,33.188,92.625,-0.769,-9.180,-47.656,-94.875
4452.727,30.4,50.0,2.865,8.859,34.031,92.188,-2.334,-11.211,-49.750,-94.812,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.266,-1.975,0.208,-0.442,5.398,2.154,-0.163,0.371,-0.785,2.324,0.412,3.425,0.788,2.336,0.407,3.424,4.461,5.734,33.781,92.125,-1.604,-8.984,-47.875,-93.938
4452.827,31.4,50.0,2.877,8.992,34.094,92.125,-2.334,-11.289,-49.906,-94.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.406,-2.045,0.083,-0.486,4.922,1.814,0.052,0.222,-0.807,2.380,0.414,3.536,0.813,2.407,0.420,3.535,3.953,5.516,33.625,92.312,-1.099,-9.883,-47.875,-94.250
4452.929,32.4,50.0,2.871,9.148,34.250,92.062,-2.344,-11.312,-50.031,-94.375,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.234,-2.137,0.015,-0.533,5.152,1.940,0.072,0.341,-0.834,2.439,0.419,3.648,0.836,2.486,0.437,3.647,4.547,5.930,33.906,92.000,-1.296,-9.469,-48.094,-94.125
4453.029,33.4,50.0,2.877,9.281,34.312,91.875,-2.342,-11.320,-50.094,-94.375,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.363,-2.111,0.006,-0.433,4.918,1.850,0.018,0.378,-0.857,2.492,0.418,3.758,0.862,2.566,0.454,3.760,3.756,5.426,33.625,91.688,-0.769,-9.398,-47.812,-94.250
4453.129,34.4,50.0,2.877,9.312,34.344,91.375,-2.342,-11.344,-50.094,-94.312,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.168,-2.064,0.147,-0.328,5.324,1.764,0.069,0.471,-0.880,2.557,0.423,3.865,0.888,2.637,0.464,3.872,3.186,6.039,33.625,91.312,-0.505,-9.164,-48.500,-94.062
